DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
132,123,73,57,34,132,124,75,56,34,Forward
111,106,70,63,34,111,108,72,61,34,Forward
97,102,69,63,33,98,102,73,62,33,Forward
121,79,64,59,32,122,81,66,58,32,Forward
131,82,68,60,33,130,82,70,59,34,Forward
126,68,68,63,33,129,70,69,64,33,Backward
119,78,76,65,34,119,79,78,66,33,Backward
127,93,93,65,34,126,93,95,66,34,Backward
141,110,98,65,34,138,108,99,67,34,Backward
124,103,75,58,35,125,102,77,58,35,Backward
109,120,84,62,36,110,122,84,61,36,Right
124,117,110,61,35,126,114,110,62,36,Right
124,117,110,61,35,126,114,110,62,36,Right
140,111,115,58,37,143,108,112,58,37,Right
91,104,121,63,36,98,103,121,63,36,Right
96,121,119,65,36,97,119,120,65,36,Right
100,117,85,63,35,104,116,88,63,34,Right
62,138,82,71,35,65,138,85,72,34,Right
103,116,89,73,35,101,115,91,74,34,Right
122,117,87,72,36,122,117,87,73,36,Right
139,81,112,65,35,138,81,111,66,35,Right
112,90,89,55,32,108,90,86,55,32,Left
100,97,75,56,34,96,101,73,57,34,Left
102,114,80,55,31,100,116,80,54,32,Left
95,113,75,54,35,93,112,77,53,36,Left
84,109,77,61,35,84,106,78,59,36,Left
107,126,80,61,37,107,125,82,61,37,Left
102,148,61,60,34,101,150,61,61,34,Left
113,119,83,59,33,113,124,83,60,33,Left
140,202,122,63,34,139,204,122,62,35,Forward
136,205,123,63,35,137,207,123,63,35,Forward
156,206,122,63,34,158,208,123,63,34,Forward
156,221,113,55,33,153,222,113,55,33,Forward
145,177,70,57,34,147,176,70,57,34,Forward
151,131,69,58,36,152,131,65,58,36,Forward
143,129,56,58,32,145,124,58,57,31,Forward
124,123,55,62,33,127,122,57,62,33,Backward
128,122,67,62,35,128,122,68,63,34,Backward
132,115,66,56,34,134,117,67,56,33,Backward
126,120,73,59,34,130,122,74,59,33,Backward
114,142,74,62,34,118,144,72,62,33,Backward
113,132,96,60,37,117,131,95,61,36,Backward
102,129,98,61,37,101,128,96,63,36,Backward
78,130,117,62,36,78,131,116,64,35,Backward
85,129,113,66,35,88,130,110,68,35,Backward
84,128,106,56,33,81,128,104,56,33,Backward
144,104,73,51,35,142,105,72,51,34,Right
138,101,66,57,34,140,102,66,56,34,Right
130,88,52,57,35,129,90,52,57,35,Right
137,88,46,61,33,137,90,45,60,34,Right
99,109,72,63,34,101,111,73,63,34,Right
79,88,78,67,35,80,89,79,67,35,Left
110,168,96,63,34,111,167,97,64,34,Left
117,168,87,67,34,116,167,87,68,33,Left
117,163,81,66,34,116,163,82,65,33,Left
160,126,87,64,34,158,124,89,65,33,Left
153,137,76,60,35,150,133,77,61,34,Left
143,101,76,56,34,141,99,76,58,34,Left
138,129,82,66,37,135,129,85,65,36,Forward
135,107,85,71,33,135,109,87,71,33,Forward
144,129,86,70,33,144,132,88,70,34,Forward
137,95,107,68,32,136,94,111,68,32,Forward
143,107,113,64,33,142,106,116,65,32,Forward
144,104,92,61,33,144,103,93,61,33,Forward
141,107,88,59,34,142,105,89,59,34,Forward
152,66,91,63,34,157,60,90,62,33,Forward
110,80,72,55,35,113,79,70,55,33,Forward
122,80,102,55,33,124,80,99,56,33,Forward
94,100,97,62,34,97,102,94,63,34,Forward
108,109,100,63,32,109,109,100,63,32,Forward
83,133,110,66,32,84,132,109,64,32,Backward
120,116,120,61,33,117,115,118,60,33,Backward
116,109,85,58,30,114,106,87,58,30,Backward
120,115,97,57,30,115,112,99,56,30,Backward
129,148,162,60,35,126,147,164,58,35,Backward
131,137,177,70,35,127,135,176,68,35,Backward
102,166,172,69,33,100,168,174,67,33,Backward
138,170,182,67,34,136,172,182,65,33,Backward
116,165,173,73,34,114,168,173,72,34,Backward
144,128,80,64,34,143,131,80,62,34,Backward
140,133,68,59,34,139,134,68,57,34,Backward
143,121,60,74,35,147,122,59,73,35,Right
150,136,59,72,35,154,135,60,72,34,Right
149,120,55,68,35,149,119,57,70,34,Right
161,147,63,63,35,161,145,65,64,34,Right
144,116,67,51,33,139,116,69,53,32,Right
132,115,67,57,34,130,113,71,57,34,Right
114,114,58,63,35,113,112,61,64,34,Right
98,113,64,65,35,95,114,67,64,34,Right
93,114,72,60,35,91,114,74,60,35,Right
74,119,65,65,36,75,119,65,64,36,Right
70,120,65,65,36,70,118,63,64,35,Right
104,102,81,59,35,104,102,80,59,34,Right
90,117,84,60,33,87,116,84,60,34,Right
70,122,71,57,30,68,122,70,57,30,Left
58,101,69,58,30,58,98,70,58,30,Left
78,116,79,58,31,77,115,80,59,30,Left
118,141,71,50,35,115,139,68,50,35,Left
149,110,72,48,36,150,108,71,50,35,Left
155,112,117,48,36,154,109,117,49,36,Left
164,131,112,54,37,165,132,112,56,36,Left
156,149,111,61,36,153,147,111,62,37,Left
92,140,99,65,36,94,140,100,66,36,Left
96,113,106,65,35,97,111,105,66,36,Left
103,122,86,64,35,107,119,84,65,35,Left
92,119,60,74,35,95,115,56,73,36,Forward
117,113,82,72,35,120,108,79,73,36,Forward
104,162,80,73,37,109,156,76,72,37,Forward
147,153,59,75,37,152,150,61,75,37,Forward
138,183,69,73,33,140,181,68,72,33,Forward
141,181,94,66,33,144,179,94,66,33,Forward
146,159,92,64,34,148,160,93,63,34,Forward
150,172,95,58,38,152,172,95,57,38,Forward
142,162,86,59,36,141,161,88,58,36,Forward
129,151,85,57,39,127,150,86,57,39,Forward
127,173,82,60,38,122,173,81,59,38,Forward
133,160,58,63,38,132,162,56,62,37,Forward
139,115,56,61,40,136,118,57,60,38,Forward
133,122,49,59,37,131,122,49,58,36,Forward
62,129,65,63,35,64,128,66,63,35,Backward
85,110,82,64,32,86,109,79,64,33,Backward
90,98,74,67,33,93,96,68,67,32,Backward
104,82,76,66,30,105,76,73,66,30,Backward
126,79,78,65,30,127,78,76,65,30,Backward
132,123,70,66,31,134,123,67,65,30,Backward
132,116,70,62,32,134,115,72,62,31,Backward
131,130,73,69,35,127,136,76,67,34,Backward
126,138,69,69,36,128,144,73,67,35,Backward
116,115,86,66,34,113,121,87,65,34,Backward
120,93,69,63,33,118,89,67,62,32,Right
115,92,64,59,33,110,91,60,57,32,Right
199,136,117,68,32,199,134,114,68,33,Right
220,144,120,69,32,215,144,118,69,31,Right
228,141,110,62,32,228,140,110,60,31,Right
260,220,112,75,33,264,217,113,74,34,Right
278,207,115,72,32,283,203,116,71,32,Right
286,194,79,69,33,290,193,80,70,33,Right
261,179,86,73,35,264,179,86,74,34,Right
267,184,85,71,35,268,183,86,72,35,Right
208,149,57,67,34,206,150,58,66,34,Right
123,175,85,65,35,125,178,83,65,35,Right
86,125,78,57,31,85,125,77,57,31,Left
91,139,72,59,32,88,139,71,58,33,Left
93,104,79,61,34,90,102,80,61,34,Left
94,98,80,62,36,88,96,82,62,35,Left
125,68,82,71,37,123,66,84,71,37,Left
