DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
1034,777,222,138,17,1035,779,224,137,17,Left
333,347,244,64,15,333,347,245,64,14,Right
333,270,247,64,15,331,269,250,65,15,Right
303,297,250,70,15,302,297,253,70,15,Right
344,285,258,70,16,345,283,261,71,16,Right
298,246,111,56,17,294,242,115,56,16,Right
272,208,111,55,16,269,205,114,57,16,Right
242,191,109,52,14,243,188,111,52,15,Right
207,203,139,53,15,205,200,140,53,15,Right
1321,1037,351,131,19,1320,1041,347,130,18,Left
1322,1053,355,126,16,1323,1056,350,126,16,Left
1307,1025,345,126,15,1309,1028,341,126,16,Left
1273,727,370,203,53,1274,700,350,205,54,Left
451,399,116,57,16,451,396,117,58,16,Left
254,218,109,55,15,254,218,110,56,15,Left
169,209,157,55,15,168,209,160,54,15,Left
157,211,148,58,14,155,213,150,58,14,Left
880,792,377,188,20,881,791,376,188,21,Right
1362,997,585,220,42,1351,1003,592,222,44,Right
1729,1213,532,230,33,1727,1214,534,228,32,Right
1867,1210,541,234,31,1866,1210,544,232,29,Right
1746,1132,523,211,31,1742,1134,527,210,29,Right
1317,694,193,88,35,1320,682,186,79,29,Right
623,321,184,85,16,621,323,183,85,15,Right
827,637,163,80,15,828,636,160,79,15,Right
798,600,187,66,18,795,600,183,66,18,Right
955,630,204,72,18,959,630,203,72,18,Right
854,538,223,62,14,851,536,221,62,14,Left
715,541,257,61,14,713,538,255,61,14,Left
507,407,198,61,14,503,406,196,61,15,Left
456,418,191,62,17,453,417,191,62,17,Left
394,395,126,58,16,393,397,125,58,16,Left
302,245,125,53,15,300,248,125,54,15,Left
236,260,134,49,15,237,260,135,50,14,Left
290,219,156,58,19,290,219,151,56,19,Left
386,437,303,86,15,385,438,304,86,16,Right
587,530,306,109,17,586,529,309,108,17,Right
700,461,308,108,16,701,460,312,107,15,Right
708,448,319,107,16,709,446,320,107,17,Right
626,433,209,108,15,623,432,208,109,15,Right
494,263,166,53,16,490,261,163,54,17,Right
225,229,157,55,16,222,229,156,56,18,Right
195,234,181,54,13,193,233,181,53,15,Right
504,398,191,77,16,504,398,191,76,15,Left
494,451,173,80,15,492,451,174,79,15,Left
461,432,190,76,15,465,432,189,75,15,Left
323,440,142,83,21,322,441,141,82,19,Left
222,418,137,65,18,225,418,134,63,18,Left
301,579,253,102,25,300,582,243,100,26,Right
304,608,181,80,15,306,609,182,80,15,Right
334,592,195,72,15,335,592,197,72,15,Right
408,638,194,85,16,411,638,193,84,17,Right
621,1133,461,174,24,628,1132,463,175,22,Left
657,1115,433,172,17,659,1116,437,172,17,Left
662,1101,439,170,16,664,1101,441,171,16,Left
660,892,422,145,30,655,886,435,142,30,Left
546,390,144,52,16,549,387,142,52,16,Left
215,255,135,54,15,219,253,135,54,15,Left
200,216,134,46,14,203,212,132,46,14,Left
477,218,165,94,20,483,218,165,91,20,Right
429,409,212,81,14,426,407,213,80,14,Right
422,441,231,83,16,419,441,230,84,17,Right
449,439,279,101,18,443,437,284,101,18,Right
1360,2026,1509,710,95,1365,2026,1510,709,95,Right
1691,2493,2024,902,128,1696,2490,2022,901,128,Right
1954,3265,2542,1134,162,1959,3263,2541,1133,162,Right
1820,3239,2525,1138,163,1823,3235,2524,1138,163,Right
2279,3220,2292,1110,158,2276,3218,2291,1108,158,Right
2493,3101,2302,1291,234,2493,3098,2300,1292,234,Right
2851,4355,2578,1616,428,2836,4327,2529,1599,429,Left
2998,4030,2051,1496,364,2996,4032,2048,1495,363,Left
2608,3427,1633,1168,305,2609,3427,1631,1167,304,Left
2583,2855,1033,1012,293,2581,2853,1033,1009,293,Left
754,287,162,58,16,754,289,165,58,15,Left
229,152,137,60,15,229,151,139,60,15,Left
181,144,130,59,15,181,142,130,58,14,Left
179,109,155,67,16,180,111,156,67,16,Left
294,388,324,73,14,294,389,321,74,14,Right
268,408,339,75,16,267,409,338,75,16,Right
275,392,341,69,13,278,392,341,69,13,Right
315,420,306,66,14,315,420,303,67,14,Right
675,444,168,67,14,677,444,168,67,15,Right
11408,7594,6726,1862,486,11674,7695,6683,1796,470,Left
17572,6467,4849,1474,175,17578,6509,4839,1464,175,Left
17491,6363,4875,1465,158,17514,6399,4866,1458,157,Left
17620,6305,4886,1459,158,17636,6340,4878,1451,157,Left
16512,8476,4266,1075,137,16500,8533,4313,1086,132,Left
3892,849,461,235,86,3873,851,467,237,86,Left
1275,297,199,99,37,1269,300,204,97,37,Left
526,490,311,79,16,531,488,309,76,17,Right
505,585,324,77,14,508,586,322,76,15,Right
1032,898,305,88,22,1041,894,304,88,21,Right
1310,820,308,71,14,1311,820,308,71,15,Right
1321,783,188,53,15,1324,782,185,53,14,Right
1245,636,149,51,16,1252,634,150,52,16,Right
1188,673,216,82,32,1179,678,219,82,34,Right
408,294,153,45,14,407,294,151,44,15,Right
515,432,242,75,15,517,431,241,75,16,Left
381,433,242,71,15,381,430,242,70,14,Left
409,454,243,71,17,410,452,242,72,17,Left
345,319,159,79,21,342,314,162,82,21,Left
300,285,156,54,20,296,284,154,55,20,Left
534,380,273,82,22,539,381,283,83,22,Right
664,726,171,76,20,668,725,170,75,20,Right
744,711,160,83,18,744,712,164,81,17,Right
897,901,498,118,18,897,899,497,118,19,Left
895,790,425,113,17,896,792,425,113,16,Left
854,754,415,110,20,851,755,413,110,21,Left
820,768,347,95,19,817,769,345,94,18,Left
315,187,120,52,16,317,188,115,51,16,Left
239,156,118,50,14,236,157,118,51,15,Left
204,274,98,52,18,203,272,98,52,18,Left
220,260,92,56,14,221,257,90,55,14,Left
203,245,120,50,15,203,243,118,51,14,Left
1111,641,411,113,24,1110,645,408,114,25,Right
1295,642,396,107,18,1299,642,396,108,17,Right
1418,682,401,118,18,1419,683,402,119,17,Right
1528,1005,406,129,18,1528,1009,407,130,17,Right
1544,791,373,103,25,1537,789,375,104,24,Right
1287,692,178,89,17,1283,697,175,89,16,Right
3128,2241,567,322,31,3135,2243,567,322,32,Left
3183,2226,604,319,20,3186,2228,603,319,20,Left
3163,2215,590,316,20,3164,2218,590,317,20,Left
3224,1682,401,167,67,3242,1653,414,158,59,Left
1056,549,161,60,17,1056,554,156,62,17,Left
412,305,122,55,14,412,303,118,55,15,Left
365,254,148,59,15,366,252,148,60,16,Left
859,989,224,83,18,865,992,226,85,19,Right
1629,1332,605,113,16,1630,1331,607,112,16,Right
1655,1361,599,119,23,1655,1361,600,119,21,Right
1678,1378,603,123,17,1681,1377,605,122,16,Right
1308,727,404,152,30,1307,726,409,153,30,Left
1313,553,396,146,23,1313,554,402,147,23,Left
1248,503,329,143,29,1250,507,329,141,28,Left
800,381,288,126,22,800,384,290,126,22,Left
425,291,151,61,17,428,285,153,61,17,Left
149,223,151,55,14,150,223,153,55,13,Left
217,226,148,53,13,217,228,149,53,13,Left
229,236,164,58,15,230,236,166,58,15,Left
248,169,151,60,14,250,171,150,59,14,Left
605,294,154,88,19,599,300,157,88,20,Right
1050,620,361,150,21,1054,622,362,145,19,Right
1151,635,624,169,34,1153,637,624,165,34,Right
1305,678,606,155,20,1302,676,605,153,21,Right
1323,738,601,175,20,1323,736,600,173,21,Right
1132,677,591,199,36,1129,666,580,203,40,Right
1166,1069,264,79,16,1166,1073,264,79,15,Left
1111,1057,283,96,18,1110,1058,284,94,16,Left
1111,1057,283,96,18,1110,1058,284,94,16,Left
1021,1007,274,77,15,1020,1007,276,77,14,Left
894,908,428,109,35,893,892,432,108,36,Left
552,401,145,72,16,551,399,148,73,16,Left
205,206,163,64,15,204,206,160,63,15,Left
546,629,299,87,21,550,631,295,84,17,Right
1300,1150,369,97,24,1300,1154,372,96,23,Right
1187,1191,366,93,24,1185,1195,368,93,23,Right
1344,1203,339,98,23,1342,1207,339,98,22,Right
1262,1152,379,107,28,1263,1148,383,107,27,Right
915,293,145,64,15,913,294,143,65,15,Right
674,499,189,67,14,673,501,185,66,15,Left
531,566,198,68,15,530,566,198,68,15,Left
511,494,158,68,17,513,494,158,66,17,Left
373,384,244,74,17,373,386,244,73,17,Left
370,320,179,77,15,370,320,180,78,15,Left
267,216,149,70,14,265,221,150,70,13,Left
260,268,122,67,14,257,272,123,68,14,Left
559,443,361,125,30,568,446,360,125,31,Right
674,571,310,93,16,675,571,309,93,16,Right
696,585,305,95,15,695,583,305,94,16,Right
702,609,303,99,16,705,607,302,99,16,Right
688,406,209,109,25,683,400,209,107,28,Right
270,274,126,86,19,271,277,131,85,20,Right
334,312,131,81,18,337,318,134,83,19,Right
318,295,173,87,15,320,300,175,88,15,Right
780,600,244,76,15,780,598,245,76,16,Left
747,599,224,78,19,745,598,223,78,19,Left
754,597,222,69,16,756,595,224,70,16,Left
498,463,261,95,31,495,461,255,98,31,Left
349,300,122,58,18,346,299,121,57,18,Left
319,234,126,57,14,321,234,126,57,14,Left
216,236,72,53,15,219,235,72,53,15,Left
326,304,134,64,17,328,302,130,62,17,Right
244,347,150,68,15,244,344,149,66,15,Right
313,371,140,66,14,317,368,138,65,14,Right
335,409,197,65,15,335,406,194,64,14,Right
794,487,194,71,16,792,487,193,72,15,Right
767,404,171,81,21,765,404,168,81,20,Right
763,432,206,70,17,761,432,201,70,15,Right
788,418,183,73,18,785,418,178,73,17,Right
1126,552,341,81,26,1128,553,343,82,25,Left
1175,476,245,75,15,1177,476,241,75,16,Left
1167,380,270,74,24,1162,385,265,75,23,Left
538,315,184,68,17,536,318,185,67,17,Left
438,269,195,71,20,436,270,195,74,19,Left
357,474,522,87,19,359,475,523,86,18,Right
2036,1197,542,101,23,2044,1192,542,101,23,Right
2347,1075,564,91,16,2349,1076,564,91,16,Right
2434,1212,583,121,27,2440,1206,581,120,27,Right
2332,1087,294,67,20,2333,1086,293,68,19,Right
2295,1101,387,145,49,2278,1110,393,149,51,Right
1094,577,231,83,22,1092,580,229,85,22,Right
857,437,227,69,20,854,437,232,69,19,Right
1376,794,322,105,28,1374,793,318,105,28,Left
1396,747,320,83,17,1397,747,317,83,17,Left
1381,711,349,85,20,1379,708,345,85,20,Left
1397,741,317,80,17,1396,742,315,80,17,Left
582,366,174,52,18,582,365,172,52,18,Left
211,218,151,42,15,211,216,152,42,15,Left
183,221,164,44,15,181,218,165,44,15,Left
190,256,181,44,14,190,255,182,44,15,Left
327,639,346,89,25,322,644,346,90,24,Right
369,738,288,75,17,370,736,289,76,17,Right
413,704,339,76,15,412,703,341,76,15,Right
439,688,341,85,15,438,687,342,84,15,Right
1416,905,503,119,14,1416,908,501,120,14,Left
1367,946,490,119,14,1366,950,487,120,15,Left
1308,987,497,116,19,1307,992,493,117,18,Left
1383,867,515,116,18,1380,867,512,116,18,Left
559,310,191,67,24,556,312,190,65,22,Left
299,234,132,48,14,297,231,129,48,13,Left
246,157,153,53,14,245,158,150,53,14,Left
206,192,151,55,14,209,192,149,54,13,Left
354,452,350,136,16,354,449,350,138,15,Right
335,578,349,139,16,334,576,347,141,15,Right
349,613,416,142,19,349,614,414,144,18,Right
430,723,390,149,18,429,723,390,151,18,Right
418,663,290,98,22,413,668,285,97,23,Right
587,643,294,110,24,586,645,291,110,24,Right
542,653,316,108,16,542,651,315,108,16,Right
641,581,320,106,17,639,579,322,107,17,Right
791,853,315,89,16,791,858,317,89,15,Left
734,859,303,72,18,736,863,304,73,17,Left
676,839,295,72,17,676,841,295,71,16,Left
661,747,247,74,17,663,750,248,74,16,Left
326,471,173,64,17,327,472,174,64,16,Left
307,327,139,56,15,311,324,138,55,15,Left
233,270,145,52,14,234,269,144,51,14,Left
259,260,130,47,14,262,258,130,46,14,Left
1825,2437,1839,332,41,1842,2443,1826,325,38,Right
2580,2858,1669,327,35,2577,2862,1663,323,36,Right
2764,2888,1646,334,34,2763,2893,1639,331,34,Right
2711,2914,1655,330,30,2712,2917,1648,328,30,Right
1036,604,339,77,14,1036,606,338,76,14,Left
970,499,367,78,18,967,502,367,79,17,Left
704,429,300,75,18,707,429,303,74,18,Left
539,434,264,78,20,539,435,265,77,20,Left
395,369,227,51,15,396,370,226,51,15,Left
213,284,124,52,15,219,285,122,51,15,Left
224,245,133,59,16,231,245,132,58,16,Left
216,198,144,56,15,220,195,142,55,15,Left
1311,1138,779,191,24,1314,1137,778,191,24,Right
1428,1145,770,194,22,1427,1145,770,194,21,Right
1458,1184,765,194,22,1455,1184,765,194,21,Right
1484,1217,733,202,26,1482,1219,730,202,25,Right
765,499,323,96,23,763,504,325,98,23,Left
872,531,220,85,15,871,532,223,85,14,Left
755,407,229,68,14,756,409,229,69,13,Left
674,413,207,68,16,675,415,210,69,15,Left
424,350,127,66,15,421,350,131,64,16,Left
168,198,121,45,14,167,198,123,45,14,Left
185,195,117,45,15,182,196,119,45,15,Left
164,199,105,44,14,166,201,105,46,14,Left
640,750,277,82,23,653,751,275,82,22,Right
854,876,426,106,19,857,875,424,107,20,Right
999,867,435,111,18,1006,867,433,111,18,Right
1124,909,474,124,20,1123,908,474,127,20,Right
906,904,441,116,26,904,906,439,114,26,Left
951,917,382,100,19,948,914,387,99,19,Left
725,855,292,75,16,726,856,292,75,16,Left
759,666,276,131,18,760,665,276,130,20,Right
1051,865,429,151,20,1053,864,425,151,19,Right
1034,945,417,158,18,1034,942,420,158,18,Right
1568,1174,352,144,34,1567,1172,347,143,34,Left
1582,982,325,85,14,1579,982,328,86,15,Left
1569,923,218,86,14,1567,924,218,85,15,Left
1666,653,241,87,20,1668,651,238,86,19,Left
485,329,207,63,15,482,328,208,63,16,Left
286,188,135,56,15,286,188,133,57,15,Left
216,212,140,53,15,215,211,140,54,15,Left
246,172,111,59,14,243,170,111,60,14,Left
436,593,221,85,23,439,591,215,85,23,Right
809,495,244,70,14,807,493,242,71,15,Right
832,511,251,76,16,832,506,248,76,16,Right
890,514,265,79,16,889,511,262,80,16,Right
883,365,230,89,24,877,365,228,88,24,Right
575,389,221,79,15,576,388,218,80,16,Right
423,341,187,71,18,425,337,185,71,18,Right
325,335,181,64,14,325,332,179,65,15,Right
282,269,164,60,14,281,266,163,60,15,Right
304,272,149,57,14,304,269,148,57,15,Right
365,399,287,91,24,369,406,290,93,23,Left
592,525,196,81,18,592,524,197,82,18,Left
612,504,199,88,17,612,505,198,88,16,Left
612,469,183,91,14,612,469,183,90,14,Left
494,504,129,68,13,493,504,129,68,13,Left
277,476,217,102,21,275,483,216,103,21,Right
814,631,267,115,17,818,629,268,118,18,Right
1173,558,393,125,17,1174,560,393,126,15,Right
1213,540,410,129,17,1213,542,410,130,16,Right
1236,400,428,100,19,1238,395,428,99,18,Right
1102,353,371,81,18,1097,349,373,81,17,Right
464,353,194,58,15,461,352,193,57,15,Right
300,476,216,66,17,305,480,215,67,16,Right
332,496,194,63,15,336,497,194,63,15,Right
428,572,261,84,15,430,575,262,85,16,Right
2475,1379,755,174,23,2470,1383,754,175,23,Left
2534,1371,742,170,19,2535,1373,741,170,18,Left
2528,1379,708,168,19,2528,1381,706,167,18,Left
2588,1349,625,206,37,2595,1341,631,202,36,Left
965,381,198,73,19,967,374,200,74,19,Left
528,287,148,66,19,524,285,150,66,18,Left
417,268,150,61,14,414,270,152,61,14,Left
307,323,145,60,14,305,323,146,59,14,Left
161,292,174,53,15,162,291,175,53,15,Left
182,302,159,54,16,186,301,158,54,16,Left
1087,1578,940,329,67,1108,1591,954,324,66,Right
1530,1759,1091,334,32,1538,1763,1092,333,32,Right
2070,2383,1260,406,40,2069,2386,1269,403,40,Right
2401,2621,1215,418,35,2405,2620,1218,417,36,Right
2930,2263,1406,422,57,2947,2266,1397,423,59,Right
2887,2288,1098,330,32,2888,2292,1095,333,33,Right
2770,1749,1157,290,28,2774,1747,1153,293,30,Right
2632,1776,927,265,26,2637,1776,925,264,26,Right
2164,1748,753,204,42,2151,1749,750,204,43,Right
1611,1295,716,191,38,1597,1294,716,196,40,Right
1092,927,449,147,28,1087,923,450,150,28,Left
1057,1057,467,116,17,1058,1057,467,115,17,Left
983,757,337,98,18,981,758,339,99,18,Left
817,921,218,93,19,814,920,220,91,18,Left
737,923,318,132,37,735,920,320,133,37,Left
879,770,279,88,16,877,768,279,86,17,Left
848,754,262,79,16,847,753,262,77,16,Left
892,702,241,67,16,891,702,242,66,15,Left
808,618,151,53,18,809,620,151,54,18,Left
676,254,134,50,17,675,254,137,51,17,Left
1728,3291,1676,610,36,1727,3291,1677,610,35,Right
2083,3287,1643,609,39,2085,3285,1645,609,38,Right
1980,3286,1666,608,38,1983,3284,1667,609,37,Right
2104,3230,1695,606,38,2107,3228,1696,606,37,Right
1527,1185,482,135,16,1524,1186,484,135,16,Left
1217,1230,512,133,18,1214,1230,514,133,18,Left
1212,1123,517,137,20,1210,1124,519,137,21,Left
1188,1078,545,130,20,1186,1078,546,130,21,Left
468,458,136,68,21,466,456,132,67,22,Left
270,200,98,56,20,270,199,99,55,20,Left
260,152,91,41,16,260,153,91,41,16,Left
196,242,96,42,15,196,243,98,41,15,Left
989,831,214,105,24,997,827,209,104,24,Right
2047,979,768,177,44,2066,973,760,176,43,Right
2283,1160,700,190,33,2286,1164,701,191,33,Right
2594,1460,874,223,45,2603,1470,887,229,45,Right
2674,1578,971,197,26,2675,1584,979,204,30,Right
2335,1440,836,172,23,2337,1447,846,177,27,Right
1612,1178,774,144,26,1606,1185,786,151,30,Right
1399,781,474,119,26,1399,786,488,122,28,Right
815,383,168,63,20,807,383,172,66,21,Left
782,463,213,69,16,780,463,211,70,16,Left
785,393,233,87,23,787,387,229,86,22,Left
742,345,217,72,18,743,344,215,72,18,Left
438,281,215,62,16,439,280,212,63,16,Right
411,400,196,75,21,416,405,195,76,21,Right
995,551,312,103,23,1002,553,310,102,22,Right
1494,679,387,125,25,1501,677,388,123,25,Right
1543,876,422,143,30,1551,877,426,140,30,Right
1651,1008,469,138,27,1655,1007,470,138,27,Right
1558,1157,543,116,26,1560,1156,540,115,26,Right
1427,1019,505,94,25,1432,1020,508,91,23,Left
652,1099,417,99,27,644,1105,410,100,28,Left
526,844,251,97,23,515,850,249,98,24,Left
488,532,212,86,16,486,533,212,85,16,Left
458,449,184,99,20,457,448,182,99,22,Left
465,412,175,77,16,462,413,173,76,17,Left
247,284,140,58,18,247,283,143,57,17,Left
209,267,109,63,16,210,264,111,62,15,Left
193,174,157,65,16,194,171,160,65,16,Left
203,178,140,62,15,207,175,143,61,14,Left
212,198,133,63,15,212,196,134,63,15,Left
245,362,255,102,19,250,357,253,103,20,Right
1187,959,785,183,39,1187,967,784,181,38,Right
1432,944,813,167,23,1435,945,816,165,21,Right
1708,1088,848,161,20,1709,1089,851,159,20,Right
1677,1153,879,196,30,1674,1159,886,199,30,Right
1427,1303,666,147,19,1427,1308,668,146,20,Right
1530,1332,704,148,19,1529,1336,707,148,21,Right
1483,1154,620,136,15,1483,1155,621,135,16,Right
