DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, DeltaForward, ThetaForward, AlphaForward, BetaForward, GammaForward, DeltaBack, ThetaBack, AlphaBack, BetaBack, GammaBack, Direction
2741,1601,745,644,1983,2762,1664,810,637,2029,2903,1734,914,683,2247,2859,1771,956,702,2204,Backward
4025,2025,1512,850,2168,3788,2074,1552,834,2204,3674,2124,1597,885,2436,3973,2139,1614,919,2391,Backward
5493,2254,1244,761,2126,5167,2338,1300,737,2158,5264,2398,1355,788,2381,5193,2380,1353,820,2330,Backward
5676,2227,1230,675,1757,5288,2297,1279,673,1784,5528,2346,1324,730,1959,5321,2328,1307,755,1917,Backward
5646,1987,1192,528,1168,5093,1974,1225,555,1178,5294,1949,1245,616,1282,5169,1884,1203,629,1251,Backward
5678,1908,235,302,625,5198,1873,233,318,633,5238,1851,245,329,696,5375,1888,239,318,687,Backward
1765,674,343,178,67,1415,673,343,178,65,1727,671,340,176,66,1410,663,340,174,65,Backward
626,84,104,32,15,334,79,102,33,14,657,82,102,34,14,289,83,107,34,14,Backward
504,84,104,30,12,190,80,101,29,11,516,78,100,31,13,177,82,100,30,13,Backward
503,71,87,29,13,180,68,83,28,12,507,68,82,28,13,181,71,84,27,12,Backward
515,87,84,29,13,192,84,79,27,13,521,81,79,26,13,194,85,82,27,13,Backward
487,121,59,31,14,158,119,54,28,13,484,118,59,28,13,156,122,60,29,13,Backward
4472,3010,1295,327,497,4110,3069,1329,338,503,4211,3085,1333,343,562,4182,3028,1302,333,554,Right
4195,3037,1288,327,497,3953,3099,1327,337,503,4203,3116,1336,342,562,3911,3057,1300,332,554,Right
4250,3056,1281,327,497,3887,3100,1325,337,503,4077,3104,1337,342,562,3886,3064,1297,332,554,Right
4295,3035,1280,326,497,3935,3082,1333,337,503,4250,3089,1351,342,562,3905,3044,1302,332,554,Right
3650,1512,761,353,129,3170,1504,763,353,129,3479,1493,760,351,129,3236,1488,760,350,128,Right
1337,245,135,48,19,829,244,136,49,19,1120,246,136,49,19,1000,247,137,51,19,Right
502,87,91,24,10,164,84,88,22,10,489,87,89,23,10,176,87,92,24,10,Right
453,92,50,22,10,122,90,49,21,10,449,92,50,21,9,129,93,51,21,9,Right
442,75,54,23,10,117,73,52,22,10,444,73,53,22,10,119,76,53,22,10,Right
501,82,80,34,46,172,79,82,35,47,502,78,83,36,53,176,79,83,35,51,Left
824,385,325,109,243,400,394,341,124,286,721,389,347,134,317,429,346,324,143,296,Left
2785,1560,418,335,721,2361,1583,395,343,770,2503,1549,405,363,850,2355,1501,432,357,821,Left
3321,1496,587,374,762,2845,1547,559,375,830,3164,1497,524,382,916,3025,1417,488,364,877,Left
3962,1590,753,550,1326,3493,1644,765,574,1394,3604,1592,773,588,1552,3546,1501,723,547,1502,Left
3847,2077,888,548,1535,3463,2133,895,579,1595,3618,2104,906,624,1761,3478,2014,865,620,1709,Left
3868,3187,906,581,1681,3504,3265,954,619,1734,3389,3313,990,669,1916,3435,3241,960,664,1860,Left
3254,2842,694,540,1673,3152,2879,753,579,1692,3105,2916,830,632,1878,3104,2875,816,631,1852,Left
3340,2491,746,507,1679,3230,2530,821,562,1706,3369,2553,871,643,1895,3113,2531,856,649,1866,Left
3291,1887,1175,482,1044,3147,1943,1199,501,1072,3368,1961,1208,518,1197,3064,1924,1171,503,1174,Forward
3443,1903,1170,475,1016,3087,1977,1201,495,1041,3232,2009,1214,513,1160,3106,1945,1172,495,1136,Forward
3448,1930,1188,472,999,3098,1970,1212,485,1024,3411,1977,1222,494,1141,3045,1938,1188,476,1120,Forward
3304,1999,1007,382,913,2929,2049,1039,402,934,3203,2058,1050,404,1037,2874,2007,1015,379,1017,Forward
1609,250,113,37,20,1595,254,114,38,20,1921,255,115,39,22,1416,255,117,41,23,Backward
1811,1002,638,265,634,1477,1123,689,262,648,1699,1207,723,269,711,1662,1112,655,268,693,Backward
4150,1932,341,316,746,3867,2097,386,317,745,3945,2215,447,356,795,3934,2191,453,364,771,Backward
3890,1967,324,319,746,3631,2115,395,320,745,3788,2221,473,358,795,3645,2215,457,362,771,Backward
3987,1961,325,319,746,3643,2124,389,320,745,3905,2238,463,359,795,3621,2218,459,363,771,Backward
3970,1973,322,319,746,3676,2113,390,319,745,4024,2212,468,356,795,3634,2216,458,361,771,Right
3286,2140,1671,576,702,2753,2209,1715,598,710,2679,2242,1725,609,794,2778,2166,1677,589,784,Right
3590,2030,1659,578,700,3207,2089,1716,599,710,3446,2115,1733,610,794,3257,2051,1676,590,784,Right
3519,2044,1666,592,771,3218,2086,1726,619,774,3351,2101,1744,634,857,3253,2055,1683,612,847,Right
3626,2077,1765,627,1136,3298,2129,1824,664,1160,3311,2150,1839,684,1283,3369,2086,1776,659,1257,Right
3995,2166,1787,749,1508,3762,2221,1857,809,1556,3627,2242,1883,867,1726,3761,2192,1831,852,1689,Right
4071,1881,976,615,1627,3961,1962,1009,694,1674,4176,2001,1024,751,1848,3937,1925,998,732,1805,Right
4665,1968,1144,677,1905,4300,2096,1259,788,1944,4053,2164,1325,874,2143,4417,2114,1232,848,2093,Right
3963,2656,1494,784,2173,3788,2835,1666,918,2211,3626,2932,1779,1032,2435,3811,2865,1731,1006,2382,Right
3747,2355,1368,889,2409,3546,2467,1506,959,2482,3588,2548,1609,1070,2743,3731,2488,1556,1077,2676,Right
3481,2215,1559,1105,2400,3372,2324,1702,1165,2472,3389,2434,1821,1233,2726,3411,2401,1769,1176,2658,Left
3557,2026,1458,1001,2291,3242,2137,1552,1010,2362,3014,2258,1632,1038,2600,3377,2246,1592,989,2532,Left
3864,2515,1462,1061,2210,3694,2565,1515,1053,2281,3628,2644,1621,1087,2500,3724,2637,1616,1053,2427,Left
3820,2164,1444,1022,1818,3845,2165,1501,1010,1886,4003,2204,1582,1015,2067,3786,2217,1557,956,1997,Left
4312,2174,1288,593,1225,4131,2201,1325,635,1258,4341,2227,1382,670,1380,4004,2174,1342,649,1342,Left
4013,1843,839,520,464,3867,1863,823,526,488,4203,1890,856,544,529,3817,1859,859,538,507,Left
3749,1795,781,507,453,3587,1844,763,516,480,3806,1888,802,535,524,3381,1840,808,528,500,Left
1689,609,345,151,56,1417,607,338,152,56,1724,605,341,148,55,1334,612,339,146,54,Left
580,109,110,43,16,298,106,104,39,15,622,110,104,43,15,257,109,114,44,15,Left
506,96,115,39,14,190,93,108,36,12,516,98,110,39,13,180,100,118,39,13,Left
4521,3499,2007,857,387,4175,3575,2072,889,388,4337,3598,2096,907,442,4217,3514,2033,877,440,Forward
4327,3525,2010,858,386,4034,3592,2074,890,387,4211,3611,2098,908,442,4017,3535,2035,877,439,Forward
4434,3526,2007,857,386,4036,3599,2073,890,387,4253,3622,2098,908,442,4014,3540,2033,876,439,Forward
4376,3539,2006,858,386,4079,3596,2063,890,387,4407,3609,2082,908,442,4025,3543,2026,878,439,Forward
2943,1252,631,307,113,2816,1236,625,304,112,3138,1215,618,299,111,2628,1201,611,295,110,Forward
1307,224,142,42,17,797,225,140,43,17,1081,227,141,43,18,968,229,144,45,18,Forward
527,79,82,28,10,183,78,79,26,10,511,77,78,27,10,195,80,82,29,10,Forward
489,79,59,25,11,169,77,57,23,10,496,77,57,24,10,157,79,61,25,11,Forward
481,77,52,23,11,154,75,51,21,11,480,75,51,22,11,150,78,53,23,11,Forward
479,67,59,23,11,144,66,57,21,11,472,65,57,22,11,151,67,59,23,11,Forward
480,60,56,21,11,144,59,54,20,11,473,58,54,20,11,154,58,57,21,11,Forward
2480,2031,970,369,873,2268,1952,966,359,886,2603,1899,965,356,991,2203,1988,947,359,980,Backward
3346,1483,851,304,865,3131,1508,880,312,878,3383,1520,899,320,985,3116,1500,869,311,971,Backward
3318,1476,865,301,863,3086,1518,884,312,877,3249,1538,898,323,985,3057,1501,877,310,970,Backward
3416,1469,860,302,863,3104,1513,883,313,877,3383,1536,897,324,985,3057,1495,874,310,970,Backward
3337,1586,831,305,889,3081,1577,858,311,903,3425,1569,873,318,1015,3062,1580,847,312,1001,Backward
2908,1096,513,218,77,2389,1099,514,217,78,2687,1106,516,223,79,2533,1111,518,224,81,Backward
1091,169,88,40,15,607,173,83,40,14,930,173,89,41,14,760,173,88,43,15,Backward
513,131,88,33,13,187,130,82,30,12,515,128,83,32,13,189,132,90,32,12,Backward
527,116,80,28,13,219,117,78,26,12,556,115,72,28,13,199,118,84,29,12,Backward
569,134,77,38,14,256,129,78,34,13,586,130,71,36,14,238,134,82,35,13,Backward
598,164,76,32,14,305,161,74,30,12,634,163,68,33,13,275,165,79,32,12,Backward
627,150,75,30,14,306,144,78,31,12,643,147,72,31,13,303,148,70,33,12,Backward
4079,1904,544,238,622,3666,1921,574,248,636,3808,1917,597,256,711,3759,1895,561,245,696,Right
3789,1930,536,238,622,3489,1966,550,247,636,3695,1972,563,255,710,3474,1932,544,245,696,Right
3847,1940,526,240,622,3466,1955,548,247,636,3655,1946,566,254,710,3487,1927,540,245,695,Right
3887,1951,559,259,649,3486,1973,562,265,665,3795,1970,567,274,741,3490,1942,561,266,724,Right
2362,841,934,316,784,2618,861,931,300,807,2931,880,921,304,890,2492,887,915,304,868,Left
3706,3683,1062,604,1033,3455,3645,1060,586,1059,3738,3626,1061,575,1173,3425,3624,1076,560,1154,Left
4904,4846,1715,600,1221,4796,4921,1704,589,1247,5101,4958,1691,583,1382,4744,4877,1653,561,1358,Left
5102,4665,1566,568,1216,4906,4786,1575,572,1245,5041,4853,1574,573,1381,4891,4739,1513,540,1356,Left
5370,4652,1513,538,1173,5077,4761,1554,541,1199,5334,4821,1575,540,1331,5021,4716,1504,512,1308,Left
4786,4688,1513,558,913,4413,4691,1555,596,902,4692,4679,1583,629,976,4516,4599,1571,652,960,Left
3417,1106,434,209,72,2901,1113,434,212,72,2924,1123,440,215,74,3057,1128,443,217,76,Left
857,136,61,26,14,456,135,56,27,12,780,134,61,27,12,538,139,62,26,12,Left
631,101,77,32,13,295,107,73,29,12,616,102,76,30,12,307,107,73,29,12,Left
589,128,63,27,13,261,131,62,26,12,587,130,59,26,12,267,132,63,27,12,Forward
4618,3570,1937,774,382,4261,3639,1991,793,398,4419,3658,2022,822,451,4304,3596,1971,799,437,Forward
4414,3590,1934,775,382,4119,3666,1988,795,397,4310,3688,2018,824,451,4087,3620,1968,801,437,Forward
4580,3700,1947,802,836,4208,3769,1993,816,882,4210,3784,2020,843,994,4199,3722,1976,820,976,Forward
4619,3739,1969,890,1209,4437,3803,2011,889,1294,4533,3817,2032,893,1461,4562,3772,1984,838,1439,Forward
3443,1794,663,693,1574,3456,1886,661,698,1643,3616,1942,649,708,1861,3215,1914,576,657,1853,Forward
3386,2067,930,814,1896,3054,2185,1023,820,1971,2915,2277,1121,848,2228,3028,2251,1104,795,2218,Forward
3256,2515,1280,1245,2155,3048,2677,1367,1243,2231,2889,2846,1445,1292,2504,3061,2862,1391,1240,2488,Forward
3470,2399,1366,1267,2204,3476,2526,1466,1307,2286,3494,2659,1559,1387,2561,3335,2647,1521,1338,2539,Forward
2487,2481,1448,1231,2170,2289,2598,1595,1289,2214,2274,2727,1717,1385,2444,2322,2697,1676,1351,2400,Forward
2673,2197,1521,1279,1910,2672,2187,1656,1274,1936,2654,2229,1822,1331,2138,2830,2179,1826,1285,2101,Forward
2143,1953,1847,1263,2247,2031,1948,1865,1234,2333,2112,1957,1926,1269,2602,2039,1923,1850,1204,2563,Backward
2330,2416,1980,1324,2286,2235,2365,2072,1281,2381,2157,2331,2217,1300,2660,2275,2231,2213,1240,2622,Backward
2704,2677,1609,1380,2375,2478,2640,1701,1352,2458,2226,2594,1851,1376,2725,2372,2495,1883,1334,2684,Backward
3676,2289,1815,1345,2243,3724,2251,1822,1312,2320,3763,2228,1889,1335,2566,3672,2160,1910,1273,2520,Backward
3997,1766,1415,1177,2120,3841,1774,1460,1146,2185,4006,1799,1571,1181,2408,3847,1762,1587,1154,2360,Backward
3978,2023,1428,1103,1956,3802,2058,1438,1101,2001,4006,2120,1511,1148,2182,3851,2090,1511,1113,2130,Backward
3769,1826,1224,1119,2081,3578,1834,1190,1078,2104,3660,1859,1237,1102,2288,3691,1859,1254,1084,2229,Backward
3203,1391,972,942,2180,2878,1428,951,898,2214,2870,1481,974,910,2432,2911,1468,953,882,2387,Backward
2721,1702,1198,914,2425,2591,1749,1184,884,2471,2540,1835,1210,897,2717,2512,1829,1156,839,2667,Right
3202,1696,892,772,2098,2903,1710,889,718,2172,2975,1722,885,663,2386,2919,1717,876,567,2331,Right
3165,1605,831,800,1959,3038,1585,854,751,2028,3152,1566,881,691,2235,2855,1570,888,566,2189,Right
3207,1471,846,676,1677,2877,1473,890,646,1733,3090,1470,913,601,1907,2862,1485,908,511,1866,Right
3169,1047,789,552,1221,2822,1061,829,514,1265,3077,1066,855,455,1389,2839,1060,864,366,1360,Right
1555,239,156,67,22,1512,234,153,64,22,1844,227,148,61,22,1342,224,145,59,22,Right
652,107,96,38,12,297,106,93,37,12,623,107,92,37,12,319,107,94,39,13,Right
548,137,113,41,126,219,153,106,34,148,556,156,103,41,159,266,146,100,50,147,Right
964,232,210,157,372,572,264,191,157,427,890,287,169,151,453,610,302,142,140,411,Right
3386,1794,1157,385,632,2975,1835,1184,397,713,2888,1898,1233,416,765,2995,1876,1194,395,696,Left
3367,2379,1601,681,756,3195,2420,1626,699,825,3354,2476,1689,748,894,2947,2443,1657,738,833,Left
3962,3095,1753,784,985,3617,3120,1781,804,1039,3676,3144,1845,848,1121,3574,3128,1845,853,1064,Left
6230,3839,2517,1006,1191,6215,3825,2533,1015,1233,6195,3842,2587,1053,1356,6185,3836,2574,1044,1312,Left
5722,4000,1778,850,1065,5553,4084,1770,874,1093,5667,4141,1798,914,1204,5515,4062,1785,899,1175,Forward
6619,5384,2031,1174,996,6527,5480,2093,1211,1011,6664,5518,2123,1240,1118,6473,5419,2059,1202,1103,Forward
6478,6120,2647,1282,1014,6101,6222,2709,1321,1031,5994,6263,2741,1351,1138,6156,6177,2653,1312,1120,Forward
7628,4514,2355,1006,630,7186,4593,2426,1041,642,6921,4619,2461,1065,712,7339,4538,2386,1027,698,Forward
5310,3883,2337,1004,630,4948,3962,2407,1039,642,5046,3985,2442,1064,712,4966,3908,2364,1026,699,Forward
4888,2906,919,343,558,4611,3018,949,365,569,4625,3095,972,382,634,4678,2983,939,359,623,Forward
4991,1406,470,169,50,4495,1394,455,158,45,4412,1390,448,150,39,4693,1377,439,143,36,Forward
624,146,74,39,33,353,140,77,38,33,677,142,76,38,36,301,140,75,38,37,Backward
959,464,159,121,253,603,469,159,127,255,925,470,170,130,281,634,466,165,127,278,Backward
1022,447,177,125,257,742,450,179,131,260,1058,454,186,134,287,707,448,180,131,284,Backward
1006,446,182,122,257,696,450,186,128,260,1012,452,192,131,287,694,446,186,128,283,Backward
1013,471,263,144,286,754,474,266,148,288,1069,477,272,153,319,702,473,266,148,315,Backward
2934,1775,850,305,789,2566,1812,871,319,805,2713,1825,876,326,894,2639,1784,853,312,878,Right
2609,1791,860,304,789,2441,1822,880,317,806,2664,1832,882,325,894,2389,1796,862,311,878,Right
2745,1790,849,302,788,2377,1821,878,316,806,2590,1831,887,325,895,2378,1796,857,310,878,Right
2792,1685,866,295,786,2439,1736,890,297,804,2750,1760,890,300,897,2494,1709,858,294,881,Right
2814,1767,1031,411,250,2392,1767,1030,407,257,2709,1741,1013,404,290,2477,1709,998,402,291,Right
983,170,71,44,15,528,169,69,44,15,856,168,69,43,15,649,169,71,43,15,Right
496,96,55,31,11,181,94,54,30,11,507,93,54,30,10,166,95,58,32,11,Right
474,57,72,27,10,155,54,70,26,9,487,56,71,26,9,148,58,74,27,10,Right
504,56,73,61,97,171,56,74,66,96,502,55,77,71,107,182,56,76,67,107,Right
586,107,104,99,150,255,110,104,102,154,577,112,111,103,171,249,113,114,94,168,Right
1411,846,1241,965,537,996,877,1261,972,550,1236,911,1321,1037,597,1008,888,1301,1029,583,Right
1692,1523,1499,1241,933,1456,1497,1520,1266,950,1588,1448,1595,1348,1036,1249,1448,1578,1330,1016,Left
2758,1553,1479,1235,1036,2598,1564,1514,1254,1083,2778,1545,1599,1335,1177,2455,1481,1587,1314,1134,Left
2950,1538,1478,1239,1028,2530,1551,1514,1258,1075,2677,1533,1599,1338,1168,2566,1469,1590,1317,1125,Left
3104,1564,941,896,949,2554,1585,994,924,990,2684,1571,1074,988,1080,2646,1510,1074,973,1043,Left
2619,1359,845,690,575,2232,1406,928,654,624,2542,1431,1033,665,673,2381,1350,1073,654,622,Left
1925,704,344,178,67,1694,698,346,176,66,2021,681,335,168,63,1564,679,331,167,63,Left
844,157,77,44,15,438,154,78,44,15,766,153,76,43,15,508,155,78,44,15,Left
512,98,77,27,10,164,94,74,27,10,493,96,73,26,10,182,99,76,28,10,Left
492,95,103,62,100,155,92,106,66,110,485,94,105,66,117,164,93,105,57,108,Left
912,965,545,594,431,518,1018,551,608,492,780,1021,589,642,537,426,956,585,634,500,Left
1903,2720,1630,1333,891,1599,2833,1663,1355,920,1686,2908,1794,1435,1016,1716,2778,1770,1414,987,Left
2912,3717,1861,1446,1202,2554,3811,1947,1468,1252,2561,3904,2109,1551,1375,2521,3830,2100,1535,1333,Left
3628,4093,1840,1580,1780,3495,4166,1927,1595,1847,3464,4232,2081,1682,2034,3511,4147,2038,1664,1980,Forward
5103,4190,1954,1458,1922,5075,4293,2043,1500,1979,4858,4437,2194,1603,2164,4826,4387,2161,1611,2104,Forward
5097,3378,2178,1161,1905,4869,3471,2226,1206,1940,4704,3619,2305,1279,2129,4852,3604,2260,1270,2072,Forward
4884,4248,1388,938,1731,4637,4337,1419,949,1752,4477,4440,1477,992,1940,4721,4367,1448,969,1907,Forward
3867,3656,1440,829,1464,3625,3716,1484,856,1487,3689,3793,1543,894,1655,3427,3745,1508,854,1622,Forward
3431,3711,1135,684,1104,3100,3734,1171,683,1142,3428,3722,1230,706,1269,3260,3707,1225,687,1240,Forward
2749,2127,663,373,971,2713,2152,676,389,1012,2978,2146,668,394,1132,2649,2092,634,358,1098,Forward
1866,1450,653,515,1301,1794,1523,667,516,1369,2060,1581,668,516,1510,1656,1584,629,485,1468,Forward
1979,2002,844,634,1667,1661,2095,889,597,1740,1831,2171,941,592,1925,1689,2200,962,576,1883,Forward
2150,2872,1878,1104,1991,2129,3018,1841,1140,2072,2016,3149,1858,1220,2307,1935,3158,1785,1218,2258,Forward
3009,3420,2051,1184,2226,3015,3593,1991,1177,2283,3161,3766,1994,1246,2540,3099,3755,1916,1245,2501,Forward
3527,3226,2015,1245,2317,3500,3336,1993,1236,2389,3571,3470,2033,1290,2630,3782,3457,1974,1278,2573,Backward
4256,3813,2708,1438,2152,4330,3941,2728,1457,2209,4428,4068,2770,1519,2434,4380,4041,2686,1488,2381,Backward
5323,4401,2363,1413,1970,5072,4514,2339,1423,2022,5090,4634,2376,1488,2233,5121,4543,2266,1446,2191,Backward
5892,4422,2072,1358,1713,5589,4534,2018,1353,1771,5425,4650,2026,1409,1956,5715,4534,1922,1374,1910,Backward
5191,3929,1907,1143,1522,5044,3977,1918,1157,1589,5218,4016,1976,1218,1747,4855,3892,1907,1186,1694,Backward
5357,3878,1661,988,653,4881,3953,1668,999,711,5104,4002,1718,1062,782,4922,3883,1638,1041,744,Backward
3932,1236,524,341,560,3457,1295,557,348,560,3463,1343,603,378,621,3593,1363,627,380,618,Backward
2198,722,486,394,990,1844,745,511,405,1002,2029,765,541,427,1121,1840,750,532,412,1109,Backward
2401,1003,353,412,1362,2170,1103,383,453,1373,2278,1190,422,520,1535,2003,1192,446,518,1520,Backward
2684,1278,726,523,1649,2665,1331,706,580,1678,2645,1358,716,645,1860,2544,1308,702,649,1832,Backward
3666,1656,1092,598,1860,3620,1722,1134,623,1891,3601,1748,1154,651,2102,3596,1692,1106,621,2068,Backward
4754,1997,1072,745,2340,4577,2019,1042,783,2393,4442,2004,1047,827,2637,4545,1887,1020,795,2584,Backward
