DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, DeltaForward, ThetaForward, AlphaForward, BetaForward, GammaForward, DeltaBack, ThetaBack, AlphaBack, BetaBack, GammaBack, Direction
4009,2650,847,415,1070,3783,2737,917,416,1111,4011,2803,975,413,1253,3649,2806,1005,385,1234,Left
4027,2324,845,430,879,3989,2341,912,512,879,4196,2370,968,585,1018,3816,2373,963,597,1036,Left
4336,3484,1848,513,468,4180,3558,1898,521,472,4427,3575,1918,526,536,4125,3500,1862,515,530,Forward
4341,3481,1845,511,467,4193,3556,1897,520,472,4433,3574,1918,525,536,4145,3498,1861,513,530,Forward
4717,3626,2082,707,883,4460,3688,2142,734,899,4462,3697,2168,751,1006,4484,3636,2105,722,990,Forward
4446,3893,2144,742,1074,4081,3927,2176,806,1079,4134,3913,2187,864,1197,4195,3827,2116,845,1181,Forward
4327,4377,2195,791,1361,4164,4378,2301,804,1383,4400,4322,2356,834,1541,4195,4187,2264,825,1526,Forward
2957,3582,1263,637,1359,2680,3665,1254,674,1394,2930,3691,1255,745,1545,2621,3568,1207,758,1512,Forward
5099,3648,1267,393,795,5257,3723,1312,407,809,5473,3762,1339,416,899,5142,3685,1290,404,883,Backward
5041,3603,1263,383,794,4652,3677,1310,398,808,4928,3718,1339,407,897,4642,3642,1289,393,882,Backward
4971,3681,1181,454,842,4631,3767,1207,398,844,4869,3815,1226,361,894,4624,3735,1184,326,853,Backward
4981,1599,597,231,81,4460,1611,605,240,84,4654,1624,620,247,87,4610,1633,629,253,88,Backward
3936,2149,388,700,231,3659,2242,386,726,223,3846,2188,375,747,245,3625,2093,374,724,251,Right
4030,2152,388,698,231,3650,2247,389,726,223,3838,2192,381,748,245,3643,2096,377,723,251,Right
4029,2147,337,704,231,3696,2238,369,726,223,4002,2179,385,746,245,3672,2089,348,726,251,Right
2475,662,308,145,54,2565,654,298,141,52,2898,639,291,137,50,2393,627,284,133,49,Right
694,255,203,71,27,303,254,202,71,26,625,240,195,77,25,346,235,195,80,26,Right
516,83,41,25,10,177,82,39,25,9,508,82,40,24,10,185,85,42,25,10,Right
491,83,56,24,10,164,82,54,24,10,494,81,54,23,10,161,83,56,24,10,Right
479,71,73,27,11,148,71,71,27,10,479,69,69,27,10,146,70,73,28,10,Left
474,89,72,29,11,143,86,70,28,10,475,88,70,28,10,141,89,73,29,11,Left
1474,1004,801,351,504,1089,1119,893,400,513,1340,1174,938,427,556,1241,1094,868,390,541,Left
2765,3092,1307,516,1076,2330,3269,1438,547,1122,2573,3373,1530,588,1229,2403,3310,1511,582,1188,Left
3095,3642,1453,601,1494,2923,3818,1543,653,1549,3159,3922,1602,690,1704,2814,3868,1554,658,1657,Left
3024,3707,1559,697,1739,2761,3924,1694,767,1805,2978,4054,1771,808,1996,2766,3986,1707,765,1947,Left
3085,2423,1421,727,1823,2797,2423,1455,756,1870,2637,2407,1471,772,2056,2961,2338,1383,716,2002,Left
2731,1783,911,596,2221,2579,1809,967,625,2283,2455,1832,1004,653,2524,2583,1826,969,630,2464,Left
1826,1401,1783,1263,2407,1850,1457,1856,1337,2483,1899,1517,1953,1435,2780,1855,1518,1868,1404,2756,Forward
2642,2590,1995,1477,1968,2640,2610,2033,1498,2025,2597,2676,2101,1560,2289,2526,2668,1985,1524,2295,Forward
2740,3113,1921,1170,2121,2876,3174,1955,1207,2162,2878,3261,2054,1295,2374,2749,3185,2018,1291,2333,Backward
1936,2825,1689,975,1497,1784,2868,1722,990,1504,1950,2904,1815,1047,1663,1706,2840,1789,1038,1653,Backward
2034,2818,1678,856,1233,1733,2865,1710,870,1247,1967,2905,1811,928,1372,1654,2853,1803,926,1357,Backward
1041,274,128,62,24,727,273,125,63,24,1060,274,125,63,23,712,274,129,63,23,Backward
509,95,77,31,13,165,89,72,30,13,499,90,79,32,12,182,94,75,33,12,Backward
3566,1101,1362,741,227,3277,1167,1383,770,227,3499,1134,1413,783,251,3229,1055,1397,761,261,Right
3607,1127,1359,740,227,3282,1163,1376,771,227,3428,1115,1404,785,252,3283,1071,1391,760,261,Right
3685,1117,1345,742,227,3308,1152,1381,771,227,3577,1099,1418,784,252,3303,1062,1388,761,262,Right
3362,1338,592,271,97,2874,1337,595,273,97,3189,1336,596,273,98,2971,1340,604,281,120,Right
936,525,125,81,30,450,522,123,81,30,777,517,126,81,29,650,499,133,113,87,Right
499,98,67,85,244,141,108,63,79,262,480,118,66,81,282,177,121,72,83,269,Right
576,257,168,163,699,235,282,130,157,736,588,318,143,188,804,274,352,170,215,776,Right
735,469,393,383,1190,384,471,409,372,1246,647,485,440,385,1375,358,471,419,384,1338,Right
2095,1405,663,726,1621,1843,1453,710,714,1690,1838,1533,776,724,1864,1816,1486,807,692,1814,Left
2615,4001,894,1036,1553,2384,4050,918,1041,1625,2110,4165,979,1075,1801,2280,4119,986,1034,1756,Left
3024,4062,896,1175,1801,2709,4132,858,1167,1884,2534,4269,879,1197,2072,2680,4246,880,1159,2016,Left
3604,2956,2255,1467,2094,3555,2977,2311,1485,2161,3388,3061,2433,1596,2425,3324,3020,2394,1596,2408,Forward
3676,2836,2071,1381,2185,3648,2874,2103,1388,2245,3504,2976,2212,1486,2513,3480,2919,2192,1475,2498,Backward
2983,1595,576,486,1618,2539,1634,606,507,1664,2744,1660,641,594,1839,2585,1627,639,613,1794,Backward
2883,1600,530,305,961,2571,1655,595,324,980,2889,1687,636,353,1085,2551,1672,610,356,1067,Backward
950,326,251,58,20,544,323,241,58,20,877,322,231,57,20,616,327,236,59,20,Backward
642,218,233,36,12,307,212,221,32,11,643,207,211,31,11,313,210,214,33,11,Backward
4156,3214,1499,314,465,3839,3260,1541,323,472,4135,3259,1562,325,529,3810,3209,1513,315,521,Right
4156,3214,1499,314,465,3839,3260,1541,323,472,4135,3259,1562,325,529,3810,3209,1513,315,521,Right
4107,3193,1493,309,464,3840,3258,1539,321,472,3972,3268,1561,325,529,3810,3199,1511,312,520,Right
4227,3169,1497,308,464,3887,3248,1528,321,472,4182,3267,1544,327,529,3827,3185,1505,312,520,Right
2696,1042,487,250,90,2671,1029,481,246,90,2993,1015,471,242,89,2482,1002,461,237,88,Right
658,100,102,36,15,355,96,97,35,15,688,93,95,34,15,324,94,96,34,16,Right
482,118,48,27,12,162,114,46,26,12,495,113,45,25,12,156,115,47,26,12,Right
545,377,388,298,556,227,379,404,313,556,589,394,435,338,616,217,390,426,330,616,Right
1006,791,873,606,1298,701,796,904,611,1314,995,801,946,639,1462,738,771,906,622,1448,Right
1828,1758,1229,855,1931,1894,1836,1229,892,1981,1940,1905,1259,937,2188,1805,1865,1231,922,2140,Left
2026,1773,1177,827,1749,2197,1794,1162,861,1793,2323,1824,1180,894,1974,2045,1800,1166,880,1928,Left
1964,1721,1069,775,1478,2145,1768,1058,802,1517,2344,1818,1074,831,1677,1941,1787,1039,816,1645,Left
2109,1728,1018,685,1263,2176,1790,972,688,1304,2366,1858,951,698,1438,1999,1839,903,696,1407,Left
1418,557,338,120,47,1176,558,326,122,47,1480,559,333,124,47,1075,556,333,125,46,Left
646,262,87,25,13,333,260,84,22,11,667,256,84,24,12,336,258,87,29,13,Left
605,220,82,28,12,295,211,81,25,13,621,209,81,27,12,276,213,79,28,13,Left
4158,4816,1836,640,1207,3932,4951,1889,663,1237,3899,5014,1908,678,1368,3985,4866,1852,652,1339,Forward
4066,6589,1964,736,1335,3761,6743,2031,779,1364,4027,6807,2056,812,1508,3783,6650,1995,791,1479,Forward
2790,6088,1448,482,883,2476,6240,1513,531,904,2800,6310,1545,569,1001,2491,6155,1469,563,983,Forward
1092,199,152,56,21,617,193,148,55,20,950,185,147,54,21,764,186,151,55,21,Forward
557,98,99,27,13,227,90,89,25,12,561,102,96,26,12,229,105,97,28,13,Forward
5509,4436,1968,480,660,4873,4520,2038,495,676,4504,4550,2076,504,767,5094,4468,2014,493,750,Backward
5326,4380,1984,479,660,4816,4465,2051,494,676,5062,4496,2086,504,767,4898,4407,2024,492,750,Backward
4422,3525,1816,488,496,4180,3592,1876,499,505,4394,3607,1900,506,573,4143,3540,1840,495,564,Right
4534,3548,1830,487,496,4110,3597,1879,498,505,4294,3600,1898,507,572,4185,3551,1847,494,564,Right
4518,3557,1829,488,495,4112,3603,1877,499,505,4433,3603,1894,507,572,4182,3557,1845,494,564,Right
2534,506,218,94,30,2673,508,223,95,31,2994,516,226,97,32,2480,522,232,101,33,Right
473,82,84,31,9,164,82,85,29,9,497,78,81,29,9,149,78,82,30,10,Left
519,100,76,31,9,200,99,76,30,9,534,94,73,30,9,196,95,74,31,9,Left
519,104,89,29,9,201,104,88,28,9,536,99,84,28,9,195,99,86,28,9,Left
514,111,78,27,10,189,109,77,26,9,519,108,75,26,9,185,110,79,27,9,Left
487,77,63,28,10,156,75,62,27,10,487,75,62,26,10,157,78,64,28,10,Left
510,168,136,33,11,165,164,131,32,11,494,166,133,32,11,181,172,137,33,10,Forward
524,207,110,37,10,201,203,105,35,10,529,203,107,35,10,193,208,111,37,11,Forward
524,211,121,31,10,196,206,116,30,10,525,207,117,30,10,195,212,123,32,10,Forward
663,123,173,59,125,285,125,181,51,137,605,129,194,55,159,297,134,202,60,157,Forward
720,376,209,194,573,314,424,269,178,606,632,466,327,185,679,375,481,344,192,669,Forward
817,464,495,417,1360,477,544,480,362,1413,741,633,490,361,1566,463,671,510,382,1534,Forward
1988,1142,911,566,1575,1778,1157,934,592,1615,1977,1163,921,595,1796,1735,1148,848,541,1759,Backward
2092,1094,732,461,1240,1807,1138,773,508,1272,2078,1148,784,521,1407,1755,1101,744,485,1374,Backward
1976,1243,548,250,597,1645,1212,501,190,601,1971,1181,445,139,636,1652,1190,373,124,604,Backward
684,202,74,47,16,327,204,72,44,17,655,198,74,44,16,359,197,73,44,16,Backward
472,91,59,31,12,161,94,54,26,12,491,91,57,25,12,148,97,55,27,12,Backward
472,87,54,25,13,150,83,48,22,13,479,82,50,21,12,146,86,49,23,12,Backward
466,86,54,22,12,143,84,48,22,12,471,82,51,21,11,140,82,51,24,12,Backward
4161,2112,393,698,216,3852,2200,376,720,209,4019,2144,352,742,229,3839,2046,370,719,233,Right
3989,2140,338,696,213,3719,2217,360,721,209,3856,2151,353,743,229,3678,2065,331,720,232,Right
4121,2118,332,697,214,3750,2224,349,721,208,4023,2177,335,744,229,3686,2062,323,720,232,Right
2268,650,313,147,54,2301,654,315,149,55,2617,657,317,150,55,2097,659,318,151,55,Right
866,355,297,108,222,454,379,326,123,262,766,364,324,130,282,467,317,297,129,259,Left
672,625,683,323,280,357,663,716,314,335,684,668,714,290,367,340,662,696,249,342,Left
920,947,692,253,277,537,976,718,248,331,874,965,700,226,362,599,932,656,186,334,Left
941,953,687,254,277,577,982,713,249,331,911,971,696,226,362,606,937,652,186,334,Left
583,319,173,70,213,285,319,164,83,222,612,327,166,92,243,263,329,173,91,235,Forward
515,348,305,236,646,231,356,295,226,673,602,369,284,218,743,269,358,261,208,724,Forward
1010,764,400,437,1227,815,798,422,487,1253,1065,818,436,517,1384,759,803,422,486,1355,Forward
1140,830,592,649,1564,914,895,601,672,1588,1104,933,605,685,1735,902,943,584,654,1679,Forward
986,821,563,711,1731,1011,871,627,766,1768,1191,898,666,806,1943,994,906,639,775,1887,Forward
824,629,506,694,1831,751,705,556,750,1875,856,753,625,804,2065,794,759,620,793,2008,Forward
586,342,552,631,1891,594,342,584,703,1941,645,373,606,753,2142,584,375,555,722,2091,Forward
2327,1507,740,596,1779,2186,1566,797,670,1810,2352,1598,823,716,2020,2212,1545,766,669,2003,Backward
2540,1450,679,400,1208,2179,1493,718,443,1227,2466,1519,743,479,1353,2212,1480,717,458,1328,Backward
2507,1460,651,274,899,2218,1480,675,288,922,2570,1489,691,312,1012,2275,1451,649,318,986,Backward
1040,212,134,59,20,593,209,127,54,21,922,204,131,55,20,714,205,131,57,20,Backward
553,107,95,38,13,251,109,89,35,13,583,106,85,35,13,227,113,90,39,14,Backward
458,106,57,24,11,133,105,57,23,10,461,103,52,22,11,133,112,59,25,12,Backward
3256,1271,1517,610,284,2805,1384,1542,632,307,2718,1410,1580,661,340,2852,1292,1561,638,320,Right
3475,978,1553,595,281,3180,1016,1574,610,303,3370,982,1607,636,335,3221,934,1588,620,317,Right
3646,957,1556,594,282,3185,1021,1576,610,303,3399,997,1610,637,335,3240,924,1590,620,317,Right
3585,965,1499,600,280,3220,1025,1572,610,303,3504,993,1637,632,336,3267,933,1568,622,317,Right
1601,513,282,146,55,1274,509,279,144,55,1590,506,276,143,55,1251,502,272,142,54,Right
518,98,74,29,12,200,95,70,28,11,524,97,71,28,12,187,98,73,30,11,Right
462,91,58,26,27,134,90,53,24,33,461,92,52,23,36,132,95,54,25,34,Right
554,274,455,178,366,195,257,469,188,402,514,237,464,193,438,173,206,427,188,418,Right
806,670,565,444,1151,527,721,588,425,1212,883,750,613,407,1331,528,741,637,374,1285,Right
1023,799,704,478,1644,781,853,628,506,1705,1180,926,631,544,1874,1004,933,656,532,1816,Left
1964,1881,1263,675,1855,1721,1863,1131,688,1913,1829,1840,1025,728,2097,1856,1785,942,736,2034,Left
3199,2014,1330,729,2184,3137,2011,1236,725,2254,3240,2013,1140,769,2475,3100,1988,982,763,2410,Left
3040,1837,1118,771,1962,2896,1793,1009,755,1996,2996,1762,928,768,2190,2797,1726,863,749,2131,Left
2921,1253,1259,883,2129,2763,1268,1207,881,2190,2794,1284,1144,886,2410,2818,1251,1045,853,2347,Left
2183,1033,959,790,2295,2135,990,998,836,2357,2200,965,1000,855,2599,2137,979,956,805,2539,Left
814,706,876,918,2524,754,644,833,897,2595,688,586,796,877,2859,598,537,772,818,2792,Left
443,509,508,700,2156,443,468,501,666,2233,487,447,483,645,2475,486,429,452,599,2417,Forward
520,725,637,854,2227,516,690,639,881,2302,503,637,622,871,2557,481,559,546,784,2502,Forward
611,599,507,880,2156,692,663,532,956,2216,746,691,545,987,2444,752,634,495,932,2382,Forward
529,596,605,856,2052,563,639,614,922,2111,602,690,612,964,2328,617,664,553,933,2269,Forward
519,551,475,873,2686,695,681,604,1005,2753,851,762,690,1093,3024,871,736,655,1069,2942,Forward
2010,1536,509,527,2445,1798,1616,668,664,2498,1738,1682,798,772,2731,1965,1638,792,765,2649,Backward
2365,1422,493,395,1291,2008,1459,525,442,1313,2259,1484,549,472,1452,2089,1446,531,450,1426,Backward
2409,1437,441,332,1008,2103,1453,456,327,1042,2424,1464,471,318,1155,2062,1440,449,288,1128,Backward
1544,286,125,42,15,1485,287,129,43,16,1811,290,127,40,17,1301,291,134,44,17,Backward
555,131,65,26,12,261,126,69,25,13,587,123,63,25,13,224,126,67,28,12,Backward
474,101,59,28,12,147,98,58,28,12,476,92,53,27,12,150,97,58,30,12,Backward
478,96,53,29,11,151,93,49,28,12,476,89,50,27,12,148,98,48,30,12,Backward
467,101,42,25,11,141,95,41,25,12,464,95,44,24,11,139,102,44,27,13,Backward
3688,1338,759,581,312,3399,1385,758,592,335,3599,1362,812,624,367,3364,1311,811,612,343,Right
3755,1319,765,580,312,3399,1390,755,592,335,3509,1378,805,625,367,3416,1307,811,612,343,Right
3857,1305,768,580,312,3418,1386,757,592,335,3684,1380,806,624,367,3424,1299,811,611,343,Right
3777,1509,552,621,256,3349,1534,515,630,233,3646,1485,558,653,255,3474,1489,541,648,255,Right
946,396,137,73,26,512,394,133,74,26,836,407,130,75,27,595,405,130,74,27,Right
466,86,85,27,9,145,83,81,25,9,472,85,81,26,9,139,87,86,27,9,Right
454,91,81,29,10,129,88,77,28,9,457,90,76,28,9,126,92,80,29,10,Left
518,90,50,30,10,183,88,47,28,10,513,89,48,29,10,192,91,49,29,10,Left
545,99,115,57,89,212,104,122,65,98,538,105,122,64,105,220,101,111,52,97,Left
1242,1340,1086,439,920,878,1451,1153,462,939,1199,1516,1195,482,1024,889,1496,1192,468,997,Left
2619,2317,1185,737,2124,2509,2435,1293,837,2248,2742,2546,1387,913,2444,2647,2549,1387,922,2343,Forward
2259,1338,1186,750,1804,2136,1340,1242,820,1904,2094,1350,1284,861,2067,2252,1359,1265,867,1985,Forward
1815,775,284,488,1947,1758,811,337,510,1992,1942,862,430,590,2193,1751,881,470,618,2141,Backward
2000,666,167,304,1229,1726,686,209,347,1263,1970,710,259,393,1399,1715,709,255,400,1366,Backward
2014,643,208,341,942,1728,652,181,290,964,2078,679,184,254,1050,1707,694,224,242,1023,Backward
916,204,131,58,23,500,208,128,57,23,830,203,123,55,22,582,199,128,55,23,Backward
474,83,71,29,12,136,81,64,28,12,465,77,59,30,12,141,81,68,32,12,Backward
466,83,71,30,12,134,80,64,30,12,465,76,59,31,12,134,78,66,33,12,Backward
4453,3075,1345,394,546,4110,3135,1382,407,557,4236,3148,1395,417,615,4161,3089,1358,399,603,Right
4208,3107,1347,392,545,3914,3148,1394,407,557,4079,3149,1412,419,615,3909,3107,1367,399,603,Right
4343,3108,1350,392,545,3947,3146,1391,407,557,4227,3145,1405,418,615,3912,3107,1366,399,603,Right
5714,4314,1285,862,851,5578,4327,1329,875,873,5702,4322,1310,891,965,5545,4309,1247,872,943,Left
8742,4198,2409,892,1160,8531,4195,2457,913,1187,8574,4204,2450,935,1317,8506,4214,2413,911,1292,Left
10833,3538,2056,1043,1293,10287,3583,2129,1077,1322,10272,3631,2161,1101,1469,10451,3586,2112,1061,1443,Left
9666,3472,1995,747,1111,9013,3509,2067,771,1133,9060,3516,2113,784,1263,9175,3475,2067,755,1245,Left
7323,2859,1032,779,936,6757,2853,1032,791,950,6826,2833,1027,796,1054,6810,2817,1010,775,1038,Left
1357,1433,562,431,1146,1192,1453,586,474,1171,1437,1463,593,495,1295,1131,1433,584,474,1265,Forward
1306,1421,569,430,1634,1102,1405,647,477,1676,1281,1392,701,542,1855,1127,1355,704,567,1815,Forward
1317,1165,630,687,1923,1250,1224,702,760,1981,1343,1266,747,813,2190,1262,1225,713,776,2140,Forward
1286,1281,849,861,2341,1267,1297,900,936,2395,1279,1282,909,970,2651,1285,1215,834,914,2599,Forward
1073,1589,1059,1174,2345,1128,1681,1120,1280,2405,1192,1723,1138,1312,2650,1164,1688,1069,1239,2587,Forward
1280,1436,1109,1196,2709,1356,1599,1179,1287,2779,1390,1674,1206,1345,3035,1312,1668,1139,1280,2945,Forward
1061,841,1009,862,2258,808,886,1002,938,2303,740,895,1013,1024,2525,711,880,987,1017,2463,Backward
856,968,1024,795,1619,717,1036,1044,875,1622,923,1056,1069,948,1774,817,997,1041,922,1753,Backward
783,680,1024,640,988,542,697,1045,662,986,891,709,1078,702,1111,570,684,1062,695,1107,Backward
768,662,325,354,752,485,675,333,371,751,775,668,345,371,851,435,643,339,349,856,Backward
3227,2111,1767,947,1368,3069,2247,1823,870,1404,3022,2388,1852,808,1546,2954,2426,1784,734,1502,Right
3037,2252,1749,914,1277,3085,2329,1766,819,1320,3139,2468,1778,743,1446,2809,2598,1720,676,1399,Right
3198,2251,1695,837,1206,3059,2400,1666,699,1238,3206,2567,1642,601,1359,2746,2697,1582,539,1328,Right
2665,1536,1301,822,1226,2649,1719,1248,674,1269,2744,1906,1240,567,1400,2277,2058,1220,490,1371,Right
1450,781,542,571,1584,1265,743,481,595,1632,1461,720,445,639,1814,1183,650,415,637,1779,Right
1255,914,700,706,1800,1173,889,629,720,1845,1236,866,556,737,2045,1106,792,458,706,2008,Right
1468,1184,1093,1005,2179,1385,1153,1166,1053,2211,1344,1148,1237,1102,2440,1408,1125,1198,1046,2404,Left
1445,1113,1077,1078,2229,1340,1123,1156,1121,2266,1359,1144,1245,1164,2502,1367,1113,1225,1114,2465,Left
1514,1502,2017,1104,2482,1498,1603,2108,1149,2549,1466,1658,2199,1198,2806,1440,1653,2157,1158,2753,Left
1308,2456,2134,1702,2495,1316,2395,2213,1742,2549,1228,2384,2320,1789,2803,1118,2325,2290,1720,2748,Left
2583,2682,2159,1766,2418,2567,2656,2254,1797,2482,2383,2668,2381,1850,2713,2378,2614,2367,1780,2649,Left
4136,3807,2792,1803,2206,4171,3822,2893,1813,2280,4022,3859,3022,1850,2483,4086,3786,2965,1791,2415,Left
4719,4680,3386,1818,2147,4648,4776,3478,1840,2264,4473,4914,3622,1867,2486,4569,4856,3570,1785,2392,Left
4392,4646,3747,1856,1960,4283,4772,3866,1954,2076,4419,4808,3839,1958,2232,4544,4713,3647,1850,2103,Forward
3595,3810,3144,1840,2224,3437,3879,3200,1913,2329,3402,3868,3146,1906,2538,3496,3755,2966,1804,2431,Forward
2606,3353,2868,1361,2467,2487,3460,2999,1428,2546,2565,3458,3021,1450,2782,2643,3366,2922,1376,2687,Forward
1821,1176,1426,1089,2605,1738,1206,1428,1125,2664,1722,1193,1371,1141,2912,1857,1132,1257,1063,2828,Forward
485,324,342,632,2402,528,424,445,754,2460,629,540,554,873,2703,627,578,584,877,2632,Forward
235,306,416,452,1892,270,345,418,466,1936,380,467,475,561,2136,439,530,515,597,2078,Forward
250,215,380,435,1873,266,274,406,492,1927,346,379,466,601,2132,389,427,488,646,2078,Forward
431,367,513,513,1923,404,338,515,532,1973,380,323,526,584,2181,393,323,505,597,2131,Forward
2144,1135,395,522,1746,1960,1176,406,535,1791,2131,1191,401,530,1995,1960,1144,347,471,1956,Backward
2288,1126,528,519,1514,1968,1150,440,507,1557,2223,1160,363,493,1720,1983,1117,299,432,1677,Backward
2295,1113,235,337,1081,1986,1122,235,273,1100,2331,1122,263,231,1204,1992,1079,295,224,1174,Backward
4140,2030,362,555,423,3813,2117,335,558,434,3977,2053,335,584,497,3823,1971,356,579,488,Right
3960,2056,308,553,423,3661,2150,307,558,434,3861,2088,320,584,498,3634,1999,310,578,487,Right
4055,3371,2423,752,975,3811,3486,2463,771,998,4009,3492,2476,801,1116,3796,3389,2425,773,1094,Right
2350,2328,2788,719,1140,2053,2374,2883,763,1182,2334,2412,2922,781,1304,2013,2365,2818,746,1268,Left
1908,851,731,613,879,1553,820,763,638,961,1636,788,739,636,1031,1602,745,692,604,955,Left
1399,1967,1288,717,1190,1008,2007,1344,728,1295,1090,2084,1389,732,1392,1028,2062,1352,701,1294,Left
2731,3153,2182,1200,1541,2673,3229,2251,1219,1628,2622,3265,2319,1258,1754,2542,3230,2253,1218,1676,Forward
3031,3186,2257,1226,1689,2980,3268,2334,1238,1789,2893,3310,2398,1273,1953,2800,3253,2324,1222,1879,Forward
2703,2487,2110,1229,1971,2737,2562,2165,1252,2048,2653,2586,2210,1303,2244,2590,2514,2157,1268,2184,Forward
2589,2657,2028,1277,2053,2572,2777,2012,1343,2155,2472,2820,1999,1426,2360,2478,2762,1891,1400,2284,Forward
3183,3285,1961,1292,2409,3174,3437,1961,1319,2495,3012,3517,1993,1409,2757,3027,3470,1911,1390,2695,Forward
