DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, DeltaForward, ThetaForward, AlphaForward, BetaForward, GammaForward, DeltaBack, ThetaBack, AlphaBack, BetaBack, GammaBack, Direction
525,191,191,203,350,189,181,195,211,354,500,173,202,214,397,170,179,207,196,394,Forward
1378,849,340,456,1214,1154,868,374,461,1242,1368,887,397,460,1381,1064,875,335,427,1354,Backward
1449,824,427,490,1298,1294,854,418,491,1329,1513,876,404,487,1471,1286,863,369,443,1437,Backward
1586,865,377,487,1281,1315,865,380,487,1312,1548,866,376,482,1452,1297,875,317,441,1418,Backward
1685,671,393,358,1178,1275,722,411,354,1207,1542,752,417,347,1340,1310,717,356,309,1308,Backward
1183,579,331,319,968,894,621,313,313,988,1235,653,298,309,1094,868,645,249,284,1070,Backward
1050,383,193,187,480,875,367,187,195,490,1175,356,182,204,548,723,364,176,194,539,Backward
1074,674,266,368,1030,643,676,242,387,1060,896,670,222,399,1182,658,639,194,376,1162,Backward
1011,659,331,507,1396,635,655,307,543,1437,896,648,287,570,1595,557,629,270,543,1560,Backward
1040,731,326,668,2017,806,739,318,739,2075,988,737,340,787,2306,736,729,341,750,2260,Backward
1617,925,280,700,2273,1468,854,268,727,2343,1660,851,364,779,2577,1454,905,445,753,2503,Right
1777,785,247,684,2154,1505,800,234,723,2221,1730,859,326,774,2446,1504,876,404,752,2377,Right
1833,778,262,430,1778,1424,781,286,404,1833,1731,808,354,462,2026,1473,820,433,498,1981,Right
1834,735,222,233,958,1495,726,148,230,981,1830,716,114,266,1081,1474,710,109,287,1054,Right
1229,220,89,37,15,1097,216,88,36,14,1431,213,85,35,13,919,213,87,34,14,Left
4596,2932,1058,196,587,4271,3004,1098,188,596,4440,3048,1119,185,666,4316,2974,1080,191,656,Left
4417,2936,1071,170,586,4149,3016,1102,178,596,4357,3065,1117,185,666,4127,2984,1089,173,655,Left
4486,2946,1068,175,586,4137,3012,1106,176,596,4354,3052,1127,181,666,4117,2985,1091,174,655,Left
4468,2970,1065,174,586,4167,3013,1109,176,596,4503,3037,1134,182,666,4125,2994,1093,174,655,Left
4303,2714,871,202,531,3857,2751,905,211,542,4087,2760,919,222,600,3958,2719,887,211,590,Forward
4107,2722,869,204,531,3835,2779,889,208,541,4099,2800,895,215,599,3786,2739,877,209,590,Forward
4190,2752,884,219,641,3832,2817,895,229,654,3915,2845,895,252,719,3876,2795,877,254,706,Forward
4176,2785,953,450,1310,3889,2869,973,464,1335,4100,2912,977,484,1478,3881,2850,946,473,1453,Forward
4348,2661,1041,673,1849,4054,2791,1028,748,1890,4244,2866,1026,809,2098,4001,2792,987,767,2063,Forward
2002,1050,595,879,2185,1702,1040,633,899,2255,1767,1084,671,921,2503,1712,1056,633,855,2452,Forward
1739,1148,1036,918,2464,1920,1189,1047,915,2538,2060,1262,1041,932,2808,1811,1345,944,873,2741,Forward
2028,1973,1110,963,2599,1947,1962,1113,955,2667,1961,1979,1131,970,2954,1911,1923,1097,908,2889,Backward
3393,3419,1158,724,1906,3462,3475,1230,705,1964,3556,3499,1287,728,2179,3518,3453,1243,719,2133,Backward
3685,3417,1153,635,1551,3380,3462,1209,638,1589,3308,3485,1251,656,1772,3412,3441,1267,641,1740,Backward
3776,2212,960,400,1098,3432,2272,993,424,1126,3697,2297,1007,444,1246,3421,2243,975,429,1221,Backward
3543,1378,441,223,579,3205,1486,454,235,594,3515,1557,468,245,659,3254,1446,456,230,644,Backward
2149,619,304,143,54,2083,616,305,146,54,2391,611,306,146,54,1877,619,305,148,53,Backward
688,182,85,33,13,386,176,82,32,13,720,175,81,31,13,361,182,81,32,13,Backward
669,180,87,36,13,343,178,86,36,14,681,172,83,38,13,345,182,86,38,13,Backward
626,204,95,31,14,283,201,93,30,13,618,199,91,31,12,309,207,92,31,13,Right
4529,3104,1446,366,441,4118,3148,1498,382,447,4234,3156,1524,393,500,4219,3113,1466,379,492,Right
4240,3176,1413,371,441,3987,3215,1467,382,446,4285,3220,1495,389,498,3919,3179,1437,380,492,Right
4264,3120,1436,367,440,3947,3195,1475,381,446,4096,3223,1496,389,498,3942,3147,1451,378,492,Right
4375,3139,1424,368,440,3966,3199,1466,381,446,4253,3216,1488,389,498,3950,3156,1440,379,492,Right
