DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
222,311,153,63,17,224,311,155,63,18,Right
252,267,153,66,16,255,266,154,66,17,Right
256,295,150,71,16,255,294,152,70,17,Right
228,313,152,69,16,228,313,151,70,17,Right
196,235,97,68,17,196,237,98,68,17,Right
155,234,126,60,16,152,234,130,59,17,Left
207,199,130,59,15,205,199,129,60,16,Left
211,153,122,66,18,210,150,121,67,19,Left
195,176,140,67,15,193,175,140,67,15,Left
175,182,154,69,17,175,181,154,69,16,Left
147,218,147,69,18,146,216,146,69,17,Left
193,194,147,77,19,194,190,144,77,18,Left
178,218,142,66,19,180,217,141,65,18,Left
204,239,137,65,19,203,239,135,65,19,Left
167,251,132,69,19,165,251,132,70,19,Left
168,217,129,62,17,168,217,129,64,17,Left
176,183,137,60,19,178,183,135,62,19,Right
180,189,126,61,19,181,189,123,62,18,Right
153,226,132,67,18,154,227,131,68,18,Right
136,225,115,63,16,135,227,114,64,16,Right
151,194,119,67,16,149,194,119,66,17,Right
213,144,164,59,16,210,147,161,58,17,Right
171,172,144,64,15,169,173,142,64,16,Right
180,196,153,58,17,177,196,151,58,18,Right
147,229,204,58,18,144,230,202,58,17,Right
116,223,161,61,18,116,222,159,60,18,Right
173,232,168,66,21,170,235,167,66,22,Left
396,415,150,66,16,400,415,153,67,16,Left
401,380,119,76,16,402,380,120,77,16,Left
394,319,156,76,18,397,318,155,75,18,Left
145,227,156,76,17,149,227,153,75,17,Left
245,249,172,74,18,241,249,171,73,18,Left
270,263,172,62,17,269,263,171,59,18,Left
266,343,144,61,18,266,345,144,58,18,Left
503,327,229,101,18,503,330,229,99,19,Right
1034,931,537,289,62,1045,939,574,293,63,Right
1738,1447,842,188,31,1737,1445,837,185,31,Right
1884,1413,845,182,22,1884,1412,844,182,21,Right
1774,1586,835,187,24,1773,1589,832,185,25,Right
1820,1745,823,199,38,1825,1737,830,199,36,Right
1339,1382,489,110,24,1339,1383,493,114,23,Right
1473,1411,558,168,46,1482,1403,568,163,46,Right
1658,1249,566,107,26,1655,1251,571,110,27,Right
1563,1149,368,137,36,1573,1140,372,134,37,Right
1071,619,229,102,31,1069,614,222,106,32,Left
591,353,150,82,18,591,352,151,81,18,Left
401,321,154,72,17,400,320,155,74,18,Left
332,250,140,64,20,330,250,142,62,21,Left
285,234,121,60,18,287,233,122,61,18,Left
255,227,129,58,19,254,229,127,59,20,Left
190,212,124,63,18,190,212,123,64,18,Left
181,180,139,61,17,182,180,137,63,18,Left
133,165,127,63,18,136,163,127,65,18,Right
133,165,127,63,18,136,163,127,65,18,Right
109,213,130,67,18,110,209,132,69,18,Right
200,172,141,64,19,201,172,143,65,18,Right
240,208,114,70,21,238,208,114,71,21,Right
314,273,137,69,18,315,271,136,70,17,Left
307,262,134,66,18,308,259,134,67,17,Left
285,263,134,65,18,286,262,133,66,17,Left
265,223,130,67,18,263,224,126,68,18,Left
148,233,97,69,17,149,234,94,69,17,Left
133,223,92,59,19,134,224,91,59,18,Right
128,238,118,65,18,127,241,119,66,18,Right
134,207,131,67,19,135,207,131,67,18,Right
198,198,134,70,18,196,199,135,70,18,Right
218,194,126,74,19,216,196,125,73,19,Right
210,199,133,74,19,211,200,131,72,19,Right
247,181,152,68,18,245,182,151,66,18,Right
247,181,152,68,18,245,182,151,66,18,Right
170,174,168,71,19,169,176,168,72,19,Right
147,192,190,80,19,146,193,191,81,20,Right
197,221,198,84,21,200,225,199,84,21,Right
166,264,187,79,20,168,264,191,79,20,Right
200,224,123,77,21,203,223,124,77,21,Left
144,207,139,75,21,143,206,141,73,21,Left
165,195,163,80,20,166,196,162,78,20,Left
173,200,161,73,22,175,199,163,73,21,Left
171,183,151,65,18,172,184,152,65,18,Left
144,246,120,69,17,146,245,122,68,17,Left
158,198,138,69,18,160,194,139,68,18,Left
182,240,139,65,18,183,238,137,65,18,Left
121,203,147,64,18,124,200,144,65,19,Right
170,261,170,59,19,170,259,168,61,19,Right
216,175,215,77,20,219,175,214,76,20,Right
210,211,224,70,18,212,215,224,70,18,Right
194,228,197,66,20,196,232,197,66,20,Right
175,236,192,81,20,174,241,189,81,19,Right
273,202,104,76,18,273,204,104,75,17,Left
308,190,129,82,19,310,192,127,81,19,Left
315,209,117,76,19,315,208,114,75,18,Left
197,269,156,74,18,200,267,151,72,18,Left
216,230,171,78,19,216,227,167,77,20,Left
198,199,168,69,19,199,197,165,68,19,Left
172,234,193,63,19,170,232,190,64,19,Left
162,200,157,68,19,160,198,154,69,19,Left
140,260,140,67,18,138,259,139,67,18,Right
155,262,118,69,20,154,262,118,72,20,Right
170,262,137,65,19,171,260,137,67,20,Right
209,164,134,71,18,207,167,134,73,18,Right
206,153,115,70,19,208,152,117,72,20,Right
210,212,132,78,19,210,211,131,79,19,Right
192,230,123,77,20,193,232,123,77,20,Right
181,269,137,75,21,182,268,139,74,22,Right
173,272,166,70,20,175,271,169,69,21,Right
217,287,160,80,19,214,287,158,79,20,Right
183,317,160,84,20,182,316,158,84,20,Left
195,278,126,79,19,195,279,123,78,19,Left
175,183,131,74,18,177,183,129,75,19,Left
234,138,189,77,19,236,138,189,77,19,Right
243,131,170,81,18,244,134,170,81,18,Right
276,195,164,81,18,278,192,165,82,18,Right
246,195,158,82,19,248,190,157,83,19,Right
187,272,107,79,20,187,269,105,79,20,Right
212,238,113,75,21,214,236,112,75,21,Right
225,212,146,69,21,227,211,148,70,21,Right
223,208,141,62,19,227,206,144,62,19,Right
177,129,148,65,17,177,132,149,66,17,Right
177,112,122,70,17,174,113,124,72,17,Right
207,179,104,71,19,206,181,103,72,18,Right
147,223,130,71,19,147,221,128,71,19,Left
166,238,143,68,19,168,237,141,67,19,Left
169,270,130,74,21,170,269,129,73,21,Left
163,214,130,80,21,166,214,127,78,21,Right
214,254,137,84,21,213,255,135,85,21,Right
205,251,146,89,20,205,253,145,90,21,Right
187,240,169,80,19,188,239,168,80,18,Right
216,257,170,77,19,219,256,170,77,20,Right
157,247,165,69,19,158,248,164,69,19,Right
186,245,140,68,19,188,246,142,68,19,Right
223,237,110,73,18,224,239,111,72,18,Right
205,245,129,76,18,206,246,132,77,18,Right
237,228,131,83,20,235,226,133,82,19,Left
234,201,159,82,18,237,199,160,81,18,Left
257,225,144,74,19,259,225,146,75,19,Left
257,254,137,84,21,258,255,139,81,22,Right
680,400,220,97,33,697,404,217,95,34,Right
1032,450,122,83,19,1031,450,123,84,20,Right
987,453,108,82,19,986,452,111,82,20,Right
963,456,142,76,19,961,453,141,76,19,Right
864,509,170,91,19,865,505,170,92,20,Right
375,279,176,97,21,373,278,176,96,21,Right
260,277,158,98,19,258,276,158,96,20,Right
227,271,144,96,18,228,268,147,95,19,Right
188,177,121,69,16,188,173,119,70,16,Left
177,175,138,71,18,177,172,137,72,19,Left
150,187,168,71,18,155,187,165,72,18,Left
139,193,162,63,18,142,193,161,64,18,Left
149,219,180,73,19,150,220,180,73,19,Left
316,257,201,77,21,319,258,200,76,21,Right
557,293,192,87,22,560,296,191,87,22,Right
499,293,181,72,21,499,294,178,72,21,Right
542,284,129,71,20,543,283,127,71,20,Right
513,286,125,70,20,514,285,124,70,20,Right
456,257,127,65,19,455,257,128,65,19,Right
215,169,95,62,18,216,168,95,62,18,Right
186,274,105,69,19,184,274,107,70,18,Right
355,285,138,75,17,354,285,137,74,17,Left
342,270,176,76,17,345,271,172,76,17,Left
283,235,126,74,20,283,237,126,75,21,Left
284,192,123,78,20,283,193,122,80,20,Left
240,290,119,75,19,239,294,120,77,19,Left
193,285,119,70,20,195,288,121,72,19,Left
209,294,83,66,19,212,297,84,68,19,Left
212,306,88,57,19,213,307,90,58,19,Left
493,273,171,81,20,495,275,171,82,20,Right
576,289,178,84,22,578,291,180,85,22,Right
590,312,193,91,22,593,314,195,92,21,Right
606,316,212,89,19,611,318,211,89,19,Right
580,176,157,111,27,582,182,152,112,27,Right
346,225,141,71,17,349,226,138,71,16,Right
254,230,145,70,17,253,233,147,69,16,Right
330,261,151,66,18,329,263,154,66,18,Right
410,412,178,68,19,411,411,179,68,20,Left
415,417,196,74,18,417,417,195,74,19,Left
400,453,194,81,21,400,453,192,82,21,Left
344,293,147,89,28,342,288,149,89,26,Right
223,268,189,74,20,224,267,190,75,20,Right
196,235,168,72,19,196,234,170,73,19,Right
281,241,166,75,18,281,240,169,75,18,Right
299,224,179,67,18,300,224,181,67,18,Right
569,289,153,70,20,572,291,152,72,20,Left
665,592,136,73,17,665,594,137,72,17,Left
672,541,145,78,17,672,544,145,77,17,Left
658,546,157,75,16,657,550,157,75,16,Left
505,492,215,73,24,495,490,217,76,26,Right
218,232,130,67,18,217,232,128,67,18,Right
249,214,114,70,19,252,214,114,69,19,Right
291,238,121,58,19,290,238,120,59,19,Right
326,221,115,60,17,328,222,113,60,18,Right
283,209,143,65,19,285,209,141,65,19,Right
271,191,161,55,17,270,192,163,55,18,Right
249,204,190,64,16,249,204,191,63,16,Right
270,181,191,67,17,271,179,193,67,17,Right
275,215,185,71,16,276,215,186,71,17,Right
306,215,170,68,15,305,217,172,67,16,Right
232,309,156,59,16,230,312,156,59,17,Left
221,305,171,61,18,222,307,171,62,18,Left
228,259,212,68,16,230,261,212,67,17,Left
280,199,190,70,18,285,200,192,69,18,Left
260,258,204,74,18,257,262,204,75,18,Left
568,865,387,92,32,579,878,381,90,32,Right
737,881,273,79,21,741,886,273,79,20,Right
1245,1220,378,127,20,1246,1222,377,128,21,Right
1484,1272,472,144,20,1483,1277,475,144,20,Left
1085,705,372,134,37,1077,702,371,132,37,Left
894,640,200,100,31,886,640,200,94,31,Left
522,316,244,110,24,511,313,250,110,24,Right
1032,504,260,103,21,1036,505,258,103,21,Right
1051,613,266,98,19,1056,610,263,98,19,Right
1032,591,282,91,17,1033,588,279,92,16,Right
1039,583,288,90,17,1040,581,285,89,16,Right
536,263,234,82,28,536,256,231,80,27,Right
335,266,165,66,19,337,265,165,65,18,Right
214,233,158,68,17,216,233,160,66,16,Right
399,382,196,94,17,403,382,196,92,17,Left
397,360,196,96,18,399,360,197,94,19,Left
279,251,146,121,27,279,242,149,123,27,Left
215,243,135,83,18,217,243,134,83,19,Left
217,236,148,82,19,216,237,148,82,19,Right
196,257,244,79,18,199,258,242,77,19,Right
203,274,238,82,19,206,274,236,82,20,Right
599,437,228,90,20,597,437,226,89,20,Right
632,518,256,88,18,634,517,254,88,18,Right
580,536,227,92,17,581,535,224,92,17,Right
648,456,131,82,17,648,454,132,81,17,Right
334,336,132,73,17,336,337,133,74,18,Right
336,214,143,76,19,332,212,145,76,20,Right
233,231,134,61,16,231,230,132,60,17,Right
700,381,362,119,21,704,380,362,118,21,Left
710,406,355,112,19,712,403,353,112,18,Left
665,399,202,88,19,667,395,203,87,18,Left
400,374,156,101,20,403,367,159,101,21,Left
369,369,326,147,27,375,380,333,144,25,Right
383,391,344,132,20,381,391,349,133,20,Right
893,390,433,172,35,902,395,440,171,33,Right
1243,758,542,160,32,1252,763,547,161,29,Right
1227,737,552,150,24,1226,742,556,153,23,Right
369,330,165,77,19,370,329,166,76,19,Left
378,275,147,86,18,378,272,147,83,18,Right
244,301,142,76,16,244,299,141,74,16,Right
248,287,166,81,17,250,286,164,79,17,Right
287,260,158,80,18,287,258,156,78,18,Right
217,283,129,66,17,219,280,127,64,17,Right
226,197,164,72,18,229,193,165,70,18,Right
275,220,146,71,17,277,218,147,70,17,Right
245,223,141,63,17,245,223,145,63,17,Right
194,207,133,61,18,196,207,141,61,18,Right
205,182,151,64,17,206,182,157,65,16,Right
193,246,118,53,17,191,245,121,52,16,Right
1301,636,146,84,20,1299,642,145,85,20,Left
1292,628,135,83,23,1288,633,136,84,23,Right
857,725,454,114,19,857,725,453,116,20,Right
1125,612,491,121,22,1129,611,489,122,22,Right
1158,611,479,121,18,1159,611,475,122,18,Right
1188,601,485,112,19,1188,601,482,113,19,Right
360,218,169,92,27,352,219,168,90,28,Left
195,269,167,77,21,198,268,171,76,21,Left
252,263,182,78,22,252,264,184,79,23,Left
312,217,159,75,18,312,219,158,76,19,Left
313,246,165,72,18,314,249,165,72,18,Left
369,318,327,82,18,369,317,330,82,18,Right
365,325,333,81,19,365,326,336,80,19,Right
958,514,346,96,21,960,510,344,98,21,Right
1051,606,436,97,21,1054,605,433,99,21,Right
986,585,431,102,20,989,586,426,101,21,Right
969,612,423,110,23,974,612,418,110,23,Right
1004,585,370,93,20,1010,585,366,91,21,Right
993,564,215,95,28,995,566,218,94,29,Left
889,520,130,86,22,886,519,132,85,22,Left
873,485,128,80,22,874,485,130,81,22,Left
855,508,134,77,22,858,509,135,79,22,Left
509,288,115,78,28,508,290,119,78,27,Left
215,187,159,75,21,214,186,159,76,20,Left
153,214,174,75,21,152,213,172,75,21,Left
149,199,165,79,20,150,198,162,77,20,Left
104,237,163,76,19,103,236,160,74,19,Left
155,192,146,84,18,154,192,144,83,18,Right
427,582,502,208,41,447,588,511,204,40,Right
552,764,523,196,27,563,766,530,194,27,Right
1192,813,571,188,30,1200,822,578,188,30,Right
1324,962,621,188,22,1325,966,627,187,22,Right
1758,1276,469,124,29,1755,1278,472,124,28,Left
1697,1156,383,118,24,1694,1156,382,119,23,Left
1443,1201,371,99,20,1445,1200,370,97,21,Left
1284,959,513,232,66,1297,927,492,228,69,Left
627,211,143,77,18,626,212,142,76,18,Left
436,182,144,79,20,435,185,141,79,19,Left
353,197,128,82,19,353,199,127,82,19,Left
802,1228,846,200,24,810,1232,839,200,23,Right
854,1677,766,222,22,853,1681,765,221,21,Right
755,1867,851,240,25,755,1870,851,237,23,Right
1109,1959,845,253,31,1107,1963,843,255,30,Right
1127,1983,830,246,25,1129,1985,831,243,24,Right
1220,995,799,229,38,1231,996,800,227,36,Right
933,1029,535,158,34,944,1028,532,158,33,Left
1013,948,595,146,34,1004,949,596,148,32,Left
865,681,270,108,19,867,683,270,108,19,Left
633,404,186,104,25,636,395,181,103,24,Left
312,207,159,93,20,314,209,159,92,20,Left
235,245,181,92,19,238,247,182,91,18,Left
338,448,255,82,21,336,455,256,82,20,Right
501,448,201,74,18,499,452,204,75,18,Right
580,453,237,104,38,585,458,251,114,40,Right
1149,1113,372,154,22,1150,1112,374,150,20,Right
1189,1184,449,149,22,1188,1182,450,147,20,Right
1359,1131,399,145,20,1358,1128,399,143,19,Right
1325,1219,375,195,34,1332,1221,371,194,33,Right
1272,898,382,148,26,1269,904,384,146,26,Right
743,897,357,89,22,737,902,360,91,22,Right
785,905,388,96,22,781,909,390,96,22,Right
742,913,453,115,24,732,911,460,119,24,Left
446,379,207,80,20,443,379,204,79,20,Left
463,352,201,81,20,456,352,201,82,20,Left
320,274,157,94,26,311,267,149,96,25,Left
190,186,172,78,19,189,185,171,77,19,Left
217,201,150,77,20,219,202,151,77,20,Left
235,211,139,72,18,238,213,138,72,18,Left
439,376,199,84,15,441,376,198,83,16,Right
463,425,206,111,40,467,430,214,121,45,Right
2203,1043,730,166,25,2200,1032,730,163,27,Right
2169,1056,734,165,24,2168,1045,732,162,25,Right
2119,1045,730,161,25,2114,1032,729,158,25,Right
2142,1029,714,162,25,2141,1017,714,160,25,Right
1143,515,221,125,43,1128,514,218,129,43,Right
285,187,114,67,19,286,186,115,68,18,Right
233,132,123,66,19,232,133,122,67,18,Right
187,253,139,68,18,188,254,139,67,17,Right
250,283,164,65,18,247,287,165,66,18,Left
252,257,175,71,20,252,260,174,72,19,Left
235,273,181,72,19,234,274,183,71,19,Left
197,197,158,73,19,194,196,161,72,18,Left
177,236,126,69,19,176,237,128,68,18,Left
204,218,78,60,17,204,219,79,60,16,Right
177,206,83,64,17,178,209,84,62,16,Right
199,202,74,67,17,200,203,75,66,17,Right
201,221,93,75,16,202,220,92,74,16,Right
248,200,97,76,18,247,198,98,76,18,Right
229,200,117,78,18,229,199,119,78,19,Right
251,238,123,76,18,251,237,125,76,19,Right
266,190,147,70,18,269,190,152,71,18,Right
302,271,167,56,17,301,272,171,55,17,Left
301,270,167,56,17,299,270,171,56,18,Left
268,275,167,65,17,268,277,170,64,17,Left
234,260,136,68,17,233,262,137,67,17,Left
260,188,132,66,17,260,189,132,65,17,Left
223,188,150,69,17,221,188,151,68,17,Left
248,147,141,72,17,245,148,143,72,17,Left
254,143,161,73,17,253,144,163,72,17,Left
171,188,162,74,17,169,192,163,73,17,Right
233,224,157,72,17,232,224,158,72,18,Right
204,272,170,73,17,203,273,169,72,17,Right
240,263,179,71,16,241,264,178,71,17,Right
249,277,177,64,20,254,277,172,64,21,Right
820,287,190,82,29,825,286,193,84,29,Right
855,387,207,79,22,859,382,208,79,22,Right
813,701,186,92,20,815,699,185,94,20,Left
823,676,197,89,17,823,676,194,90,17,Left
702,532,223,87,19,697,531,228,89,21,Left
327,205,179,74,18,323,203,177,74,18,Left
234,225,169,68,19,234,227,165,69,18,Left
214,256,149,70,17,215,256,147,71,18,Left
257,264,127,73,17,254,264,127,74,17,Left
304,362,282,84,19,303,359,284,84,20,Right
346,399,273,88,23,347,399,271,93,23,Right
672,436,295,103,19,677,437,292,100,19,Right
711,562,304,83,17,714,562,303,82,17,Right
742,518,257,85,28,749,517,254,83,28,Right
791,470,188,91,18,792,472,186,90,18,Right
915,494,185,87,19,916,491,187,85,20,Right
720,451,203,75,17,723,450,208,75,17,Right
538,454,224,73,17,535,453,230,72,17,Right
473,412,232,75,17,473,410,240,75,17,Right
213,309,171,65,17,212,310,173,63,17,Left
228,341,164,69,17,228,343,163,69,17,Left
235,314,193,75,18,237,315,191,74,18,Left
189,327,194,67,17,187,328,193,67,17,Left
133,226,170,73,17,130,227,168,73,17,Left
159,248,162,76,17,157,249,160,75,17,Right
205,281,144,82,17,203,282,144,81,17,Right
205,281,144,82,17,203,282,144,81,17,Right
429,422,305,125,29,439,433,307,120,27,Right
1210,489,367,108,28,1219,493,371,108,27,Right
1091,554,394,100,21,1094,557,397,99,22,Right
1217,598,402,97,24,1225,600,406,95,26,Right
1207,690,368,103,22,1212,690,372,103,23,Right
1218,596,206,78,17,1222,597,207,79,17,Right
665,529,202,70,20,667,529,205,70,20,Right
845,529,162,73,19,844,529,163,73,19,Right
447,324,171,62,19,442,326,169,61,19,Right
329,297,159,64,19,329,297,159,65,19,Right
